1. 失血性休克的“5P”临床表现不正确的是
 ->B. 尿路感染
   C. 类风湿关节炎
   D. 风湿热
   E. 蜂窝织炎

24. 断肢（指）的急救不包括哪个方面
   A. 止血
   B. 包扎
   C. 保存断肢（指）
   D. 迅速运送
 ->E. 输血

25. 电除颤时电极置放位置为
   A. 胸骨左缘第二肋间＋胸骨右缘第二肋间
   B. 胸骨左缘第二肋间＋胸骨右缘第四肋间
 ->C. 胸骨左缘第五肋间＋胸骨右缘第二肋间
   D. 胸骨左缘第四肋间＋胸骨右缘第四肋间
   E. 胸骨左缘第四肋间＋胸骨右缘第三肋间
解析：除颤电极的位置：最常用的电极片位置是指胸骨电极片置于患者右锁骨下方，心尖电极片放在与左乳头齐平的左胸下外侧部。尽可能缩短电击前后的胸外按压中断，每次电击后要立即进行胸外按压

26. 有机磷农药中毒时可采用20%碳酸氢钠洗胃，除了
   A. 特普
   B. 对硫磷
   C. 乐果
   D. 敌敌畏
 ->E. 敌百虫

27. 重症胰腺炎综合治疗措施不包括
   A. 早期液体复苏
   B. 全身炎症反应调控
   C. 脏器功能支持与维护
 ->D. 早期使用广谱抗生素预防局部和全身性感染
   E. 后期外科处理

28. 脑功能评价最常用的手段是
   A. 磁共振
   B. TCD
   C. 体感诱发电位
   D. 肌电图
 ->E. 脑电图

29. 有机磷中毒烟碱样症状是
 ->A. 肌纤维颤动
   B. 流涎、多汗
   C. 恶心、呕吐
   D. 肺水肿
   E. 瞳孔缩小

30. 对被目击的短暂室颤患者的最佳处理措施为
   A. 胸外按压
   B. 静脉推注利多卡因
   C. 静脉推注胺碘酮
 ->D. 立即除颤
   E. 人工呼吸

31. 可作为SLE特异性标志的自身抗体是
   A. 抗ssDNA抗体和ANA
   B. 抗dsDNA抗体和ANA
 ->C. 抗dsDNA抗体和抗Sm
   D. 抗DNP抗体和ANA
   E. 抗ssDNA抗体

32. 判断深静脉导管位置最简单、方便的是
   A. 呼吸波动
   B. 心电图
 ->C. 摄X线片
   D. 超声检查
   E. 静脉造影

33. 危重病转运的原则中不包括的是
   A. 由权威机构制定转运标准，具体到何种疾病的转运条件细则
 ->B. 由会诊医院确定是否转运
   C. 首要的是“不要造成伤害”的原则
   D. 就近原则
   E. 确保转运中具备监护、治疗以及对可能发生的意外有应变设备和能力

34. 交感神经兴奋时，少尿的主要原因是
   A. 血浆胶体渗透压升高
   B. 血浆晶体渗透压升高
   C. 滤过膜通透性降低
 ->D. 肾血流量减少
   E. 醛固酮分泌减少

35. 下列属于副交感神经作用的是
   A. 瞳孔扩大
   B. 糖原分解加强
 ->C. 逼尿肌收缩
   D. 骨骼肌血管舒张
   E. 消化道括约肌收缩

36. 急性肝功能衰竭常见并发症不包括
   A. 肝性脑病
   B. 消化道出血
   C. 肝肾综合征
   D. 自发性腹膜炎
 ->E. 重度黄疸

37. 糖尿病酮症酸中毒的主要治疗是
   A. 中枢兴奋剂，纠正酸中毒
   B. 纠正酸中毒，补充体液和电解质
   C. 纠正酸中毒，应用胰岛素
 ->D. 补充体液和电解质，应用胰岛素
   E. 应用中枢兴奋剂及胰岛

38. 位于延髓的神经核是
   A. 滑车神经核
   B. 展神经核
   C. 面神经核
 ->D. 孤束核
   E. 上泌涎核

39. 不属于红细胞的生理特征的是
   A. 红细胞膜的通透性
   B. 红细胞的可塑变形性
   C. 红细胞的悬浮稳定性
   D. 红细胞的渗透脆性
 ->E. 红细胞的趋化性

40. 对鼓膜正确的描述是
   A. 位于外耳道与鼓室的外侧壁之间
   B. 鼓膜脐与镫骨底相连
   C. 上1/4称紧张部
 ->D. 前下部有反光区称光锥
   E. 属于内耳

41. 关于胆汁的叙述，正确的是
   A. 胆汁只在消化期产生排入小肠
   B. 胆囊胆汁较肝胆汁偏碱性
 ->C. 胆汁中与消化有关的成分是胆盐
   D. 高脂肪食物引起胆汁流出最多
   E. 胆汁含有消化酶

42. 心源性休克和其他类型休克共有的最主要特征是
   A. 心排血量降低
   B. 动脉血压降低
 ->C. 组织微循环灌流量锐减
   D. 外周阻力降低
   E. 外周阻力升高

43. 氯丙嗪对下列哪种原因所致的呕吐无效
   A. 癌症
   B. 药物
   C. 胃肠炎
 ->D. 晕动病
   E. 放射病

44. 在Ⅰ型超敏反应中发挥重要作用的抗体类型是
   A. IgG
   B. IgM
   C. IgA
 ->D. IgE
   E. IgD

45. 以下哪个药物不是用于有机磷中毒的解救药物
   A. 碘解磷定
   B. 氯磷定
   C. 阿托品
   D. 双解磷
 ->E. 亚硝酸钠

46. 下列哪项不是低分子肝素抗凝法的特点
   A. 出血危险性小
   B. 生物利用度高
   C. 使用方便
 ->D. 抗凝血作用较强
   E. 鱼精蛋白中和剂量不好掌握

47. 腹腔间室综合征导致心血管系统病理生理改变描述，哪项错误
   A. 胸腔内压显著升高，同心血量明显减少
   B. 心排血量减少
   C. 中心静脉压、肺动脉压、肺动脉楔压升高
   D. 心脏顺应性下降，收缩力减弱
 ->E. 每搏量减少，心率减慢

48. 导致热衰竭的主要作业的类型是
   A. 低湿作业
   B. 高湿作业
   C. 强热辐射作业
   D. 夏季露天作业
 ->E. 高温、高湿作业

49. 治疗心室停搏的首选药物是
   A. 肌苷
   B. 利多卡因
   C. 多巴酚丁胺
   D. 胺碘酮
 ->E. 肾上腺素
解析：治疗心室停搏的药物首选是肾上腺素。利多卡因主要用于治疗室性心律失常。多巴酚丁胺是升压药。胺碘酮为心肺复苏时常用的抗心律失常药

50. 关于氧中毒的叙述，下列哪项是正确的
   A. 病人的PaO<sub>2</sub>都很高
 ->B. 主要因活性氧引起细胞损伤
   C. 其发生取决于氧浓度而不是分压
   D. 主要因脑部损伤引起
   E. 病人不会缺氧

51. 下面哪种不属于正常TCD波形
   A. 血流方向正常
   B. 脑动脉各检测参数在正常范围内
   C. 血流频谱信号正常，未闻及血流杂音
 ->D. 左右两侧对应动脉的血流速度不对称，差值>20 cm/秒
   E. 同一血管主干上的血流速度及沿分支血管逐渐降低，无明显节段性增高

52. 62岁女性，全身骨痛，血浆总蛋白143 g/L，清蛋白39 g/L，最可能的诊断是
   A. 转移癌
   B. 骨质疏松症
   C. 慢性肾衰竭
   D. 甲状腺功能低下
 ->E. 浆细胞病

53. 有关酸碱平衡失常的治疗描述中，不正确的是
   A. AG增高型代谢性酸中毒应强调病因治疗
   B. 代谢性碱中毒的治疗时要补充足够的钾离子
   C. 轻度代谢性酸中毒可适当补充适量的平衡液
 ->D. 急性呼吸性酸中毒可考虑使用碱性药物
   E. 呼吸性碱中毒治疗以原发病治疗为主

54. 关于肾功能改变时的营养支持，不正确的是
   A. 首选肠内营养，不能肠内营养可经静脉营养
   B. 若不能口服可选择鼻肠管饮食或空肠造瘘营养
   C. 在氮源的选择上以补充必需氨基酸为主
   D. 脂肪乳的补充量可达40%～50%
 ->E. 都必须给予静脉营养

55. 成年伤员，工作中不慎其头颈部、左上肢、躯干后面、左小腿及左足被火焰烧伤，按新九分法计算，其烧伤总面积应为
   A. 27%
   B. 33%
   C. 38%
 ->D. 41%
   E. 45%

56. 肺部肿块合并肺不张时，CT增强扫描的目的是
   A. 了解有无纵隔淋巴结肿大
   B. 观察肺不张的范围
   C. 了解支气管浸润程度
   D. 了解肿块周围肺组织的情况
 ->E. 明确显示肿块大小和边界

57. 下列心脏骤停后综合征处理不正确的是
   A. 治疗性低温
   B. 气道保护和机械通气
   C. 正性肌力药
 ->D. 输注葡萄糖、补充能量
   E. 抗感染

58. 急性生理和慢性健康状况评价系统（APACHE）描述错误的是
   A. 目前APACHE系统发展中有4种评分方法
   B. APACHEⅡ系统包括3方面的内容，即生理指标、慢性健康及年龄内容
   C. APACHE系统的重要特点是特定评分的相关病死率与疾病分类密切相关
 ->D. 简化急性生理学评分（SAPS）是APACHE评分系统的简化版
   E. 与APACHEⅡ相比，APACHEⅢ的校验力和辨别力更高

59. AOPP下列哪一项不符合毒蕈碱样表现
 ->A. 肌力减退
   B. 呕吐、腹痛、腹泻
   C. 多汗
   D. 瞳孔针尖样缩小
   E. 心率减慢

60. 急性心肌梗死最易招致室颤的严重心律失常是
   A. 窦性心动过速
   B. 窦性心动过缓
   C. 房室传导阻滞
 ->D. R-on-T室性期前收缩
   E. 阵发性室上性心动过速

61. 休克早期引起微循环变化的最主要的体液因子是
 ->A. 儿茶酚胺
   B. 心肌抑制因子
   C. 血栓素A2
   D. 内皮素
   E. 血管紧张素Ⅱ

62. 雷电击时最常出现
   A. 惊恐、面色苍白、头痛、头晕、心悸
 ->B. 意识丧失、心跳和呼吸骤停
   C. 低血容量性休克
   D. 急性肾衰竭
   E. 心肌和传导系统损害

63. 人HLA-DQ基因位于
   A. 第15号染色体
   B. 第17号染色体
 ->C. 第6号染色体
   D. 第2号染色体
   E. 第22号染色体

64. 脑水肿或脑损伤机械通气时，宜维持多高的PaCO<sub>2</sub>
 ->A. 30～35 mmHg
   B. 20～25 mmHg
   C. 25～30 mmHg
   D. 35～45 mmHg
   E. 15～20 mmHg

65. 终止室上性心动过速发作，首选
 ->A. 腺苷
   B. 普罗帕酮
   C. 维拉帕米
   D. 胺碘酮
   E. β受体阻滞药

66. 关于包扎的叙述，正确的是
   A. 越紧越好
   B. 超出伤口边缘20 cm
 ->C. 良好的包扎能达到止痛、止血的目的
   D. 遇有污染的骨折端还纳后再包扎
   E. 有脱出内脏可不必包扎

67. 下述哪项不是静脉血栓抗凝治疗的禁忌证
   A. 严重出血
   B. 严重肝肾功能不全
   C. 两周内曾行大手术，尤其是颅内或眼科手术
 ->D. 临床表现和实验室检查怀疑静脉血栓栓塞，未确诊
   E. 恶性高血压

68. 以下关于解磷定对急性有机磷农药中毒的作用的叙述哪项不正确
   A. 尽早使用
   B. 副作用有视力模糊
 ->C. 连续使用72小时
   D. 与阿托品合用最理想
   E. 可解除烟碱样和毒草碱样作用

69. PEEP一般不用于
   A. ARDS患者
   B. 肺炎、肺水肿患者
   C. 新生儿透明膜病
 ->D. 右心衰竭患者
   E. 左心功能衰竭患者

70. 关于失血性休克的治疗原则正确的是
 ->A. 迅速补充血容量并止血
   B. 立即输全血
   C. 大剂量的升压药
   D. 大剂量的强心药物
   E. 大剂量的糖皮质激素

71. 通常TIA完全缓解的时间在
   A. 1周内
   B. 3～4天
 ->C. 24小时内
   D. 12小时内
   E. 3小时内

72. 考虑阑尾炎伴穿孔的患者，下列经验性抗生素选择中哪项不合理
   A. 碳青酶烯类
   B. 加β内酰胺酶抑制剂的青霉素类
   C. 第三代头孢联合甲硝唑
 ->D. 万古霉素或替考拉宁
   E. 加β内酰胺酶抑制剂的青霉素类联合甲硝唑
解析：阑尾炎穿孔后，肠道细菌进入腹腔引起感染，多为革兰阴性菌，ABCE中的抗生素基本覆盖了常见革兰阴性菌和/或厌氧菌，而D中万古霉素或替考拉宁主要针对革兰阳性菌，不合适此类患者，故选D。

73. 在我国引起婴幼儿秋冬季流行性腹泻的病毒主要是
   A. 肠道病毒70型
   B. 艾柯病毒
   C. 柯萨奇病毒
   D. 巨细胞病毒
 ->E. 轮状病毒

74. 属于肾上腺素能受体的是
   A. M、N和α
   B. M、N和β
   C. M、α、β
   D. N、α、β
 ->E. α、β<sub>1</sub>、β<sub>2</sub>

75. 急性心肌梗死患者，抢救过程中突发意识丧失、抽搐，最大的可能是
   A. 心房颤动
   B. 室性心动过速
   C. 室性期前收缩
   D. 心房扑动
 ->E. 心室颤动

76. 能使细菌黏附到上皮细胞上的结构是
 ->A. 普通菌毛
   B. 鞭毛
   C. 芽孢
   D. 性菌毛
   E. 荚膜

77. 可溶性钡化合物中毒可引起以下哪种特征性表现
 ->A. 低钾血症
   B. 皮肤呈灰蓝色
   C. 可引起高铁血红蛋白血症
   D. 静脉血氧饱和度降低
   E. 发绀

78. 关于人工气道气囊压力，下列说法错误的是
   A. 目前使用的人工气道气囊均为高容低压，一般不主张常规定时放气
   B. 人工气道建立之前，常规检查气囊是否完整
 ->C. 气囊压力一般为10～15 cmH<sub>2</sub>O
   D. 测量气囊压力间隔时间一般为8～24小时
   E. 气囊放气前，应吸净口咽部、鼻腔分泌物

79. 关于下丘脑与垂体之间的关系的叙述，错误的是
   A. 下丘脑视上核的神经元轴突延伸终止于神经垂体
   B. 下丘脑一些神经元具有内分泌细胞的作用而影响垂体功能
 ->C. 下丘脑室旁核的神经元轴突延伸终止于腺垂体
   D. 下丘脑与腺垂体之间的功能联系通过垂体门脉系统
   E. 下丘脑为枢纽，把神经调节和体液调节紧密联系起来

80. 根据（2005年国际心肺复苏与心血管急救指南》，成人胸外心脏按压与人工呼吸比为
   A. 3∶1
   B. 5∶1
   C. 15∶2
 ->D. 30∶2
   E. 50∶2

81. 下列哪项描述不符合新生儿窒息
   A. 新生儿窒息的本质是缺氧
   B. 窒息伴有代谢性酸中毒
   C. 伴有乳酸中毒
 ->D. 临床表现Apgar评分为8分
   E. 常是宫内窘迫的持续

82. 引起肝功能衰竭的病因有
   A. 肝炎病毒
   B. 毒物
   C. 乙醇
   D. 自身免疫性疾病
 ->E. 以上都是

83. 机械通气的目的不包括
   A. 维持通气量
   B. 改善换气功能
   C. 纠正缺氧和二氧化碳潴留
   D. 减少氧消耗
 ->E. 改善通气/血流比

84. 肾性骨营养不良的发病机制中下列哪一项不存在
   A. 高血磷
   B. 低血钙
   C. 酸中毒
 ->D. 甲状旁腺激素分泌减少
   E. 1,25（OH）<sub>2</sub>D<sub>3</sub>合成减少

85. 关于诊断性腹腔灌洗术，下列何项错误
   A. 可用于创伤性急腹症的辅助诊断
   B. 不宜作为首选诊断手段
 ->C. 多数腹膜后脏器损伤通过腹腔灌洗常得出阳性结果
   D. 操作前应排空膀胱和解除胃潴留
   E. 有腹部手术史，腹腔脏器可能粘连于腹壁者不宜行腹腔灌洗术

86. 肌电图中插入电位出现纤颤及束颤电位需要考虑
   A. 上运动神经元疾病
 ->B. 下运动神经元疾病
   C. 肌肉疾病
   D. 神经肌肉接头疾病
   E. 脱髓鞘病变

87. 冠状动脉介入治疗的适应证
   A. 急性ST段抬高心肌梗死发病12小时内
   B. 不稳定型心绞痛经积极药物治疗，病情未能稳定
   C. 主动脉-冠状动脉旁路移植术后复发心绞痛的患者
   D. 介入治疗后心绞痛复发，管腔再狭窄的患者
 ->E. 以上都是

88. 代谢亢进状态下的重症病人营养支持策略是代谢支持，有关代谢支持的能源选择，正确的是
   A. 可以单独使用葡萄糖作为能量来源
   B. 可以单独使用脂肪乳作为能量来源
   C. 可以单独使用氨基酸作为能量来源
 ->D. 使用葡萄糖和脂肪的双能源供给
   E. 使用糖、氨基酸的双能源供给

89. 健康人进入高原地区或通风不良的矿井可发生缺氧的主要原因在于
 ->A. 吸入气的氧分压低
   B. 肺部气体交换差
   C. 肺循环血流量少
   D. 血液携带氧能力低
   E. 以上均不是

90. 治疗躁动型谵妄症的常用药物是
   A. 咪达唑仑
   B. 劳拉西泮
   C. 地西泮
   D. 丙泊酚
 ->E. 氟哌啶醇

91. CVP监测的适应证不包括
   A. 严重创伤、休克及循环衰竭患者
   B. 种类大、中手术
 ->C. 静脉全身麻醉
   D. 需大量、快速输血输液患者
   E. 需长期输液或接受TPN患者

92. 以下哪个部位感染会导致脓毒症
   A. 肺部感染
   B. 颅内感染
   C. 血源性感染
   D. 泌尿系感染
 ->E. 以上都是

93. 选择血管活性药物治疗休克时应首先做到
 ->A. 充分补足血容量
   B. 保护和改善细胞功能
   C. 改善心脏功能
   D. 去除原发病因

94. 与鉴别脑膜炎奈瑟菌和淋病奈瑟菌有关的试验是
   A. 葡萄糖发酵
 ->B. 麦芽糖发酵
   C. 蔗糖发酵
   D. 果糖发酵
   E. 乳糖发酵

95. 急性心梗早期（24小时内）死亡的主要原因是
   A. 心源性休克
 ->B. 心律失常
   C. 心脏破裂
   D. 乳头肌断裂
   E. 心衰

96. 关于血管活性药物以下哪项说法不正确
   A. 多巴胺、去甲肾上腺素、肾上腺素均可兴奋α、β受体
 ->B. 小剂量多巴胺有肾保护作用
   C. 去甲肾上腺素与多巴酚丁胺合用可改善感染性休克的组织灌注与氧输注
   D. 肾上腺素可推荐作为感染性休克的一线治疗药物
   E. 血管加压素可使用于心搏骤停抢救

97. 下列哪些急诊事件可出现无脉电活动，并且床边可紧急处理：①低血容量②肺栓塞③张力性气胸④心包膜填塞⑤脑疝
   A. ①②③
   B. ②③④
 ->C. ①③④
   D. ③④⑤
   E. ①④⑤

98. 腹部闭合性损伤合并出血性休克时的处理原则是
   A. 立即手术探查
   B. 输血并给止血药
   C. 输血并给抗生素
   D. 积极抗休克，休克纠正后手术探查
 ->E. 积极抗休克的同时进行手术探查

99. 深静脉血栓形成的主要原因
 ->A. 血管内皮损伤、血液高凝状态、静脉血流淤滞
   B. 血小板激活、高凝状态、静脉血流淤滞
   C. 血液流速快损伤血管壁、高脂血症、血小板激活
   D. 血管内皮损伤、血液高凝状态、高脂血症
   E. 血液流速快损伤血管壁、血管内皮损伤、血小板激活

100. 在创伤性休克早期不宜进行下列哪项处理
   A. 大量抗生素
 ->B. 碱性药物
   C. 强心剂
   D. 激素
   E. 血管收缩剂与舒张剂
解析：休克早期预防性使用抗生素可以预防肠道菌群移位等造成的感染。故A选项正确。休克早期对于纠正酸碱平衡的原则是主张宁酸勿碱，应当在补足血容量、恢复微循环灌注后适量给予碱性药物纠正酸中毒。故B选项错误。对于重症患者，只通过降低外周阻力改善微循环往往达不到治疗效果，需同时使用强心剂改善心功能，增加心排血量。故C选项正确。对于感染性休克和其他较严重的休克，一般主张早期、大剂量、短疗程使用皮质类固醇类。故D选项正确。在补充血容量的同时，合理使用血管收缩剂与舒张剂也十分重要。故E选项正确。

101. 心源性休克时一系列病理生理变化的基础是
 ->A. 急性泵衰竭使心排血量减少致有效循环量不足
   B. 血容量不足
   C. 动脉血管容积增加
   D. 静脉血管容积增加
   E. 弥散性血管内凝血

102. β受体阻断药可以引起
   A. 心率加快，心排血量增加
 ->B. 支气管痉挛，诱发哮喘发作
   C. 脂肪分解加速
   D. 肾素分泌增加
   E. 眼压升高

103. 一孕36周妇女产前检查发现如下，医生决定对她做进一步检查，因为其中一项不属于孕期心血管系统生理变化特点，而可能是病理性的，该项是
   A. 心率稍增快而有心悸感
   B. 叩诊心浊音界向左稍扩大
   C. 心尖及瓣区可闻及柔和的收缩期吹风样杂音
 ->D. 下肢水肿，卧床休息后不消退
   E. 上楼时呼吸增快，气促

104. 检查成人鼓膜时应将耳廓拉向
 ->A. 后上
   B. 前下
   C. 前上
   D. 后下
   E. 后方

105. 关于肩关节的描述正确的是
 ->A. 肱骨头大，关节盂浅
   B. 关节囊厚而坚韧
   C. 不能做环转运动
   D. 易向后方脱位
   E. 没有肌腱通过

106. 使用单向波除颤仪，电击能量选择为
   A. 200J
   B. 300J
   C. 150J
 ->D. 360J
   E. 500J

107. 下列不属于重型颅脑损伤重症监护适应证的是
 ->A. 意识障碍，GCS昏迷评分≤12分
   B. 有颅内病变但经CT证实暂不手术者
   C. 颅内压升高明显或正行脑室外引流者
   D. 合并其他重要脏器功能不全者
   E. 有明显局灶性神经功能障碍者

108. 疑诊肺栓塞时应进行的检查，除了
   A. X线胸片
   B. 心电图
 ->C. 肺活检
   D. 血浆D-二聚体
   E. 下肢深静脉超声

109. 下列属于CT肺动脉造影常见临床适应证的是
   A. 肺部感染
   B. 肺气肿
   C. 肺结核
 ->D. 肺栓塞
   E. 气胸

110. 一中年女性，因频发房性早搏服用普萘洛尔治疗2个月余，近日感病情好转而擅自停药，出现心慌、心律失常加重，此现象属于
   A. 副作用
   B. 毒性作用
 ->C. 停药反应
   D. 继发反应
   E. 后遗效应

111. 对杆菌肽敏感的乙型溶血型链球菌为
 ->A. A群
   B. B群
   C. C群
   D. D群
   E. E群

112. 下列哪种细菌为革兰阴性菌
   A. 葡萄球菌
 ->B. 脑膜炎奈瑟菌
   C. 奴卡菌
   D. 肺炎链球菌
   E. 炭疽杆菌

113. 肝功能衰竭并发肝性脑病的发病机制不包括
   A. 氨中毒
   B. 假性神经递质学说
 ->C. 支链氨基酸增加，芳香族氨基酸减少
   D. GABA/Bz受体学说
   E. 甲基硫醇和短链脂肪酸毒性作用

114. 出血机制与相对应的实验室检查特点不正确的是
   A. 过敏性紫癜——出血时间正常
   B. 再生障碍性贫血——出血时间延长
   C. 特发性血小板减少性紫癜——凝血时间正常
   D. DIC——纤维蛋白原降低
 ->E. 血友病A——活化部分凝血活酶时间延长，加入正常人血清可纠正

115. 关于兴奋性突触传递过程的叙述，错误的是
   A. 突触前轴突末梢去极化
   B. Ca<sup>2+</sup>由膜外进入突触前膜内
   C. 突触小泡释放递质，并与突触后膜受体结合
 ->D. 突触后膜对Na<sup>+</sup>、K<sup>+</sup>、Ca<sup>2+</sup>，特别是对K<sup>+</sup>的通透性升高
   E. 突触后膜膜电位去极化达阈值时，引起突触后神经元发放冲动

116. 管理腮腺分泌的神经是
   A. 舌神经
 ->B. 舌咽神经
   C. 迷走神经
   D. 面神经
   E. 副神经

117. 心肌梗死最早出现的最突出的症状是：
   A. 胃肠道症状
 ->B. 胸痛
   C. 心律失常
   D. 心源性休克
   E. 心力衰竭

118. APACHEⅡ评分仍然是目前最为广泛的应用和研究疾病严重程度的评分系统。APACHEⅡ评分系统包括了3部分的综合，包含12参数的急性生理评分、慢性健康评分和患者年龄评分。关于APACHEⅡ评分系统中急性生理评分中描述错误的是
   A. APACHEⅡ评分系统因为简单可靠、设合理，预测更为准确，所以目前的使用率最高
   B. APACHEⅡ评分的预测系统中分支越高，代表病情越重，预后越差，死亡率越高
   C. APACHEⅡ评分中心血管系统的评分是以符合美国纽约心脏病协会制定的心功能标准
   D. APACHEⅡ评分中慢性疾病包括心血管系统、呼吸系统、肝、肾和免疫系统
 ->E. APACHEⅡ评分不适合艾滋病、淋巴瘤或者白血病等抗感染能力低下者的病情评估

119. 每分钟氧的利用率
   A. 氧输送
   B. 氧消耗
 ->C. 氧摄取率
   D. 氧饱和度
   E. 血氧含量

120. 以下不属于ALI/ ARDS治疗原则的是
 ->A. 心衰治疗
   B. 治疗原发病
   C. 纠正缺氧
   D. 机械通气
   E. 液体管理

121. 危重病人出现一系列的代谢紊乱，以下哪种情况可进行营养代谢支持
 ->A. 有效复苏后的急性重症胰腺炎
   B. 原发病需立即进行手术
   C. 血流动力学不稳定
   D. 严重的代谢性酸中毒
   E. 明显容量不足

122. 形成攻膜复合物的补体成分是
   A. C6b-9
   B. <img src="https://exam.mvwchina.com/upload/Picture/d798d61ec7ed4beb953b7632c81e5712.png"/>
   C. <img src="https://exam.mvwchina.com/upload/Picture/61214e46284e4eb9ad6ca597c02cebeb.png"/>
 ->D. C5b-9
   E. C5a-9

123. 硝酸酯类药物舒张血管的作用机制是
   A. 选择性阻断α<sub>1</sub>受体
   B. 直接激动β<sub>2</sub>受体
   C. 促进钾通道开放
 ->D. 释放一氧化氮
   E. 阻滞Ca<sup>2+</sup>通道

124. 体温调节的重要中枢位于
   A. 脊髓
   B. 延髓
   C. 中脑
   D. 大脑
 ->E. 下丘脑

125. 间接红细胞凝集试验阳性是
