1. 肾细胞癌的典型声像图特征是
 ->C. 输尿管膀胱开口喷尿消失
   D. 输尿管膀胱开口喷尿频率增多
   E. 输尿管膀胱开口喷尿尿流变粗

8. 下列急性阑尾炎的超声表现叙述正确的是
 ->A. 阑尾肿胀，体积增大是超声显像的基础
 ->B. 表现为一低回声的管状结构，阑尾的短轴断面呈卵圆形或不规则形状
 ->C. 阑尾管壁增厚，黏膜因炎症回声增强，呈现为管壁和腔内积液之间的一条线状强回声
 ->D. 彩色多普勒超声显示阑尾旁血流信号增多
   E. 阑尾肿大如团块状，壁间回声均匀，是阑尾炎症程度加重、坏疽或脓肿的表现

9. 绒毛膜癌可继发于
 ->A. 葡萄胎后
 ->B. 足月生产后
 ->C. 宫外孕
 ->D. 流产后
 ->E. 未婚女子的卵巢内

10. 患者女，25岁，孕25周，临床诊断：胎盘早剥，其超声表现特征，正确的是
 ->A. 胎盘周围可见低回声区
 ->B. 胎盘与子宫壁间见不均质回声
   C. 胎盘切面见丰富血池结构
 ->D. 胎盘明显增厚声像
 ->E. 胎盘位于后壁时诊断较困难

11. 下列描述中，属于脂膜炎特点的有
 ->A. 是发生在乳房皮下脂肪层的炎症
 ->B. 超声表现为不规则的中强回声区
   C. 超声表现为不规则的低回声区
 ->D. 如脂肪液化，可呈无回声区
 ->E. 可形成囊肿

12. 子宫体癌的病理学改变及诊断，正确的是
   A. 声像图能显示内膜增厚，故早期即能确诊
 ->B. 子宫内膜为弥漫性增厚或团块状
 ->C. 始发于更年期与绝经期的妇女
 ->D. 又称子宫内膜瘤，发生在子宫内膜
 ->E. 主要临床表现为阴道出血

13. 超声容易显示的侧支循环是
 ->A. 胃左静脉、胃静脉、食管静脉
 ->B. 脐静脉
 ->C. 脾静脉、肾静脉
 ->D. 后腹膜静脉
 ->E. 肠系膜上静脉

14. 下列是“卵黄囊征”的选项有
   A. 原始卵黄囊大于羊膜囊
 ->B. 胎囊≥2.5 cm，而未见卵黄囊
 ->C. 卵黄囊＞4 mm或自由漂浮
 ->D. 复查时卵黄囊未见长大
 ->E. 复查时卵黄囊可消失

15. 子宫内膜异位症声像图特征有
 ->A. 子宫增大，形态饱满
 ->B. 子宫肌壁回声粗糙不均匀，与宫壁无明显界限
 ->C. 子宫内膜线移位
 ->D. 易于子宫肌瘤相混淆
 ->E. 有附件囊肿

16. 下列对艾布斯坦畸形的超声描述正确的是
 ->A. 右心房显著增大
 ->B. 三尖瓣叶下移距离＞15 mm
   C. 肺动脉增宽并肺动脉高压
 ->D. 三尖瓣重度关闭不全
   E. 房间隔中段可见回声失落

17. 肝囊肿声像图的特征性表现有
 ->A. 圆形或椭圆形无回声
 ->B. 有包膜
 ->C. 有侧壁声影
 ->D. 后方回声增强
   E. 后方声影

18. 颈动脉硬化闭塞的脉冲多普勒表现
   A. 颈动脉轻度狭窄：频谱轻度增宽，V<sub>max</sub>无变化
 ->B. 颈动脉轻度狭窄：频谱轻度增宽，V<sub>max</sub>无明显变化或轻度增快
   C. 颈动脉中、重度狭窄：V<sub>max</sub>加快，频谱增宽
 ->D. 颈动脉中、重度狭窄：V<sub>max</sub>加快，舒张期反向血流消失，频谱增宽
 ->E. 颈动脉完全闭塞，测不出频谱，远心端V<sub>max</sub>平均速度减慢，舒张期反向血流消失，呈低幅连续单相血流频谱

19. 下列哪些符合子宫内膜异位症的特点
 ->A. 随月经周期变化
 ->B. 发生于子宫肌层称子宫腺肌症
 ->C. 发生于卵巢称巧克力囊肿
   D. 良性疾病，不发生远处转移和种植
 ->E. 一般多有痛经

20. 胃癌的超声特征是
 ->A. 胃壁增厚或呈肿块状
 ->B. 增厚胃壁及结节状肿块呈低回声
 ->C. 胃壁五层结构消失
 ->D. 蠕动减弱或消失
 ->E. 中央强回声位置偏移、变小

21. 患者，女，42岁，临床诊断椎-基底动脉供血不足，以下符合其表现的是
 ->A. 是指椎-基底动脉系统缺血引发的病理过程
   B. 椎-基底动脉狭窄或闭塞，颅内段以椎动脉从锁骨下动脉起始段多见
 ->C. 二维图线见受累部位血管管壁局限性增厚，有回声强弱不等、大小不一的斑块附着于管壁
 ->D. 彩色多普勒见狭窄处血流通过受阻，出现杂色血流信号
 ->E. 彩色多普勒见闭塞时患部无血流信号

22. 浸润型胃肠癌的特征是
 ->A. 胃肠壁弥漫性显著增厚
   B. 胃肠壁局限性结节状肿块
 ->C. 弥漫增厚的胃肠壁呈“假肾征”
   D. 胃肠蠕动减弱
   E. 中央区强回声偏移

23. 功能失调性子宫出血的特点是
 ->A. 由于调节生殖的神经内分泌机制失常引起的异常子宫出血
 ->B. 临床表现是不规则子宫出血、月经量多、贫血
 ->C. 超声表现为子宫均匀性增大，子宫内膜增厚
   D. 卵巢一般多萎缩、变小、功能下降
   E. 超声表现为子宫形态正常，子宫内膜未见增厚

24. 急性骨髓炎的超声表现有
 ->A. 早期可见骨膜下脓肿带状无回声区
 ->B. 骨膜被掀起呈拱形抬高并增厚
 ->C. 骨周出现脓肿无回声区
 ->D. 骨皮质回声中断，骨质中出现不规则、边缘不清的低回声区，并夹杂有较强的回声
 ->E. 软组织肿胀，CDFI和CDE可见组织充血、血流信号增多

25. 多发性大动脉炎的超声声像图表现包括
 ->A. 受累动脉管壁正常结构消失，外膜与周围组织分界不清
 ->B. 管壁呈局限性或普遍性增厚，为低回声或中强回声
 ->C. 管腔内可继发血栓，血栓的回声常常较管壁回声低
 ->D. 病变处动脉壁一般无钙化斑块，但病程较长者可合并钙化斑块
 ->E. 受累动脉主要以狭窄或闭塞为主,偶可并发动脉扩张或动脉瘤

26. 患者，女，32岁，临床诊断急性骨髓炎，其超声表现是
   A. 早期容易探查到的征象是骨膜下脓肿形成的带状无回声区，骨膜被掀起呈拱形抬高，无增厚改变
 ->B. 骨质中出现边缘不清楚、外形不规则的低回声区，内部夹杂斑点样强回声
 ->C. 软组织肿胀，有脓肿形成则显示为无回声区
 ->D. 窦道形成时，局部软组织纹理中断
   E. 病变部位正常骨纹理清晰可见，骨皮质完整

27. 男性乳腺癌的特点包括
 ->A. 乳晕下无痛性肿块、质硬
 ->B. 乳头回缩，皮肤凹陷
 ->C. 超声早期可见腺体层增厚，结构不清，似男性乳腺发育症
 ->D. 进一步发展可出现不规则低回声区，与女性乳腺癌相似
   E. 预后比女性好

28. 下列描述中，属于脂膜炎特点的有
 ->A. 是发生在乳房皮下脂肪层的炎症
 ->B. 超声表现为不规则的中强回声区
   C. 超声表现为不规则的低回声区
 ->D. 如脂肪液化，可呈无回声区
 ->E. 可形成囊肿

29. 患者，女32岁，临床诊断亚急性甲状腺炎，其超声表现正确的是
 ->A. 弥漫性肿大
   B. 大小、结构、回声正常
   C. 内呈稀疏、均质的强回声
 ->D. 局部有压痛
 ->E. 多普勒超声显示，血流可以丰富或不丰富

30. 甲状腺囊肿包括
 ->A. 单纯性囊肿
 ->B. 囊腺瘤
 ->C. 甲状腺癌囊性变
 ->D. 出血性囊肿
 ->E. 皮样囊肿和包虫囊肿

31. 患者，男，42岁，外伤引起软组织损伤，其表现是
 ->A. 肌腱裂伤在肌腱完全断裂时，肌腱断端向中心回缩，肌腱回声中断或消失
 ->B. 肌腱部分断裂时，肌腱回声不均匀，变薄
 ->C. 肌腱部分断裂时，肌腱回声不连续，断裂部位可见锥形低回声区
   D. 肌腱陈旧性断裂时，回声不均匀性减弱，边界不清楚
 ->E. 肌腱陈旧性断裂时，断端呈中等强回声或强回声，瘢痕组织纤维化程度较高时，回声后方可拖有声影

32. 子宫内膜异位症声像图特征有
 ->A. 子宫增大，形态饱满
 ->B. 子宫肌壁回声粗糙不均匀，与宫壁无明显界限
 ->C. 子宫内膜线移位
 ->D. 易于子宫肌瘤相混淆
 ->E. 有附件囊肿

33. 超声诊断成熟卵泡的标准是
 ->A. 卵泡表面无卵巢组织覆盖
 ->B. 卵泡长径≥20 mm
 ->C. 卵泡张力高，壁薄而光滑
   D. 子宫直肠陷窝少量积液
   E. 以上都不是

34. 下列哪项是脐带特点
 ->A. 脐带正常长度30～70 cm，平均直径1.5～2.0 cm
 ->B. 脐动脉绕脐静脉呈螺旋状走行
   C. 脐静脉绕脐动脉呈螺旋状走行
 ->D. 超声无法测量脐带的长度
 ->E. 胚胎体蒂延长，被以羊膜成为脐带

35. 患者，女40岁，临床诊断子宫腺肌症，其声像图的叙述，正确的是
 ->A. 子宫腺肌症为子宫内膜在子宫肌层内生长
 ->B. 子宫前后壁不对称性增大
   C. 子宫内膜组织若侵入局部，使周围肌肉组织高度增生可形成子宫肌瘤
 ->D. 彩超可探及点、条状血流
 ->E. 可合并子宫肌瘤

36. 理想的心脏声学造影剂应为
 ->A. 无内在化学活性，不干扰冠状动脉血流
 ->B. 所含微泡与红细胞的大小、分布及流动速度一致
 ->C. 微气泡穿过毛吸血管壁时不影响壁的正常生理功能
 ->D. 可静脉注射并持续显影直至进入心肌组织
 ->E. 对各脏器无毒副作用

37. 引起脂肪肝的常见原因
 ->A. 营养性原因：肥胖或营养缺乏
 ->B. 代谢性原因：糖尿病、肝糖原积累、高脂血症
 ->C. 药物原因：乙醇、皮质类固醇及细胞毒药物
 ->D. 特发性；原因不明
   E. 乙肝病史

38. 患者出现脑栓塞症状，超声心动图发现左房内血栓形成，左房血栓的超声特点包括
 ->A. 基底部宽
   B. 有蒂
 ->C. 无蒂
 ->D. 形状不规则
   E. 活动度大

39. 下列哪些是卵黄囊的特点
   A. 在卵黄囊内可测量头臀长度
 ->B. 卵黄囊随妊娠增长而萎缩
 ->C. 卵黄囊可提示宫内妊娠，
 ->D. 卵黄囊可提示胚胎组织存在
 ->E. 卵黄囊为小圆形无回声，直径3～7 mm，占孕囊横径的1/3

40. 功能失调性子宫出血的特点是
 ->A. 由于调节生殖的神经内分泌机制失常引起的异常子宫出血
 ->B. 临床表现是不规则子宫出血、月经量多、贫血
 ->C. 超声表现为子宫均匀性增大，子宫内膜增厚
   D. 卵巢一般多萎缩、变小、功能下降
   E. 超声表现为子宫形态正常，子宫内膜未见增厚

41. 子宫内膜癌声像图特点是
   A. 一般只侵犯子宫、附件，不转移至盆腔以外的器官
 ->B. 子宫内膜不规则增厚
 ->C. 绝经前后不规则阴道出血
   D. 病灶内部或周边可见血流信号，RI＞0.5
   E. 病灶内部或周边，舒张期血流丰富，呈低阻力型

42. 超声判断中、重度颈动脉狭窄采用的方法
 ->A. 二维超声观察血管内中膜厚度
 ->B. 观察狭窄面积百分比
 ->C. 脉冲多普勒频谱半定量检测
 ->D. M型超声观察血管内径
 ->E. 彩色多普勒血流观察血流颜色呈花色

43. 患者，女32岁，临床诊断亚急性甲状腺炎，其超声表现正确的是
 ->A. 弥漫性肿大
   B. 大小、结构、回声正常
   C. 内呈稀疏、均质的强回声
 ->D. 局部有压痛
 ->E. 多普勒超声显示，血流可以丰富或不丰富

44. 心脏声学造影的应用范围包括
 ->A. 协助显示心内分流
 ->B. 改善多普勒血流频谱的显示
 ->C. 协助显示心内未知结构
 ->D. 改善心内膜边界的显示
 ->E. 显示心肌的灌注状态

45. 下列肾脏超声表现说法正确的有
   A. 先天性肾发育不全声像图结构模糊不清
 ->B. 先天性肾发育不全声像图结构清晰
 ->C. 慢性肾病时，肾萎缩，皮质回声增强
 ->D. 梗阻后小肾脏实质变薄
   E. 以上各项都对

46. 心脏声学造影的应用范围包括
 ->A. 协助显示心内分流
 ->B. 改善多普勒血流频谱的显示
 ->C. 协助显示心内未知结构
 ->D. 改善心内膜边界的显示
 ->E. 显示心肌的灌注状态

47. 患者，女，42岁，临床诊断椎-基底动脉供血不足，以下符合其表现的是
 ->A. 是指椎-基底动脉系统缺血引发的病理过程
   B. 椎-基底动脉狭窄或闭塞，颅内段以椎动脉从锁骨下动脉起始段多见
 ->C. 二维图线见受累部位血管管壁局限性增厚，有回声强弱不等、大小不一的斑块附着于管壁
 ->D. 彩色多普勒见狭窄处血流通过受阻，出现杂色血流信号
 ->E. 彩色多普勒见闭塞时患部无血流信号

48. 关于急性睾丸扭转的声像图表现下列哪些是正确的
 ->A. 患侧精索增粗，可呈线团征
 ->B. 睾丸肿大，回声不均匀
 ->C. 睾丸内血供减少或无血流
 ->D. 可有鞘膜积液
   E. 睾丸周边血供增加

49. 胎儿双侧肾积水声像图表现包括
 ->A. 膀胱增大
   B. 膀胱缩小
   C. 与膀胱无关
 ->D. 下尿路梗阻
   E. 上尿路梗阻

50. 宫内早孕声像图特点可包括
 ->A. 子宫增大
 ->B. 宫腔内可见妊娠囊
 ->C. 妊娠囊内可见胚芽
 ->D. 妊娠囊内可见胎心搏动
 ->E. 妊娠囊内见卵黄囊

51. 理想的心脏声学造影剂应为
 ->A. 无内在化学活性，不干扰冠状动脉血流
 ->B. 所含微泡与红细胞的大小、分布及流动速度一致
 ->C. 微气泡穿过毛吸血管壁时不影响壁的正常生理功能
 ->D. 可静脉注射并持续显影直至进入心肌组织
 ->E. 对各脏器无毒副作用

52. 患者，女33岁，妊娠33周，胎儿宫内生长迟缓，主要观察指标
 ->A. 胎儿头围、腹围
 ->B. 胎儿双顶径（BPD）
 ->C. 胎儿头围与腹围比例
 ->D. 胎儿股骨长
   E. 胎儿肱骨长

53. 患者，女，40岁，临床诊断结节性甲状腺肿，其超声表现正确的是
   A. 甲状腺血流呈“火海”状
   B. 甲状腺结构正常
 ->C. 甲状腺囊实性结节
 ->D. 甲状腺多个结节
 ->E. 甲状腺结节有钙化点

54. 出现在肝内线状增强回声是下列哪项引起的
 ->A. 血管壁
   B. 肝窦状隙
 ->C. 纤维隔
   D. 肝硬化
 ->E. 肝内胆管壁

55. 脾肿大的声像图特点为
 ->A. 左肋缘下探及肿大的脾脏实质性图像，随呼吸而上下移动
 ->B. 有明确的边缘，其内侧可显示一个或两个脾切迹
 ->C. 可探及有血管出入的脾门
 ->D. 在前腹壁检查较易显示脾脏声像图
   E. 脾脏长度超过8 cm，厚度超过3 cm

56. 骨骼肌正常声像图表现包括
 ->A. 纵切肌肉边缘呈强回声线
   B. 纵切肌肉边缘呈低回声线
 ->C. 纵切肌肉内部纤维呈均匀细线样回声
 ->D. 横切肌肉之间呈强回声
   E. 横切肌肉之间呈低回声

57. 脾肿大的声像图特点为
 ->A. 左肋缘下探及肿大的脾脏实质性图像，随呼吸而上下移动
 ->B. 有明确的边缘，其内侧可显示一个或两个脾切迹
 ->C. 可探及有血管出入的脾门
 ->D. 在前腹壁检查较易显示脾脏声像图
   E. 脾脏长度超过8 cm，厚度超过3 cm

58. 下列哪些疾病属于乳腺无回声肿块
 ->A. 淋巴结肿大，短轴增大，长（L）/宽（S）＜2
 ->B. 肿大淋巴结被膜不完整，数个淋巴结融合在一起
 ->C. 肿大淋巴门部偏心
 ->D. 肿大淋巴门部增大
   E. CDFI：血流丰富，呈高速高阻型，RI＞0.7

59. 右心声学造影相对禁忌证包括
 ->A. 冠心病、心绞痛或心肌梗死
 ->B. 严重心功能不全
 ->C. 明显紫绀
 ->D. 严重贫血
 ->E. 有血管栓塞病史或高凝状态

60. 肝内有三条韧带对超声检查很重要，他们是圆韧带、静脉韧带和镰状韧带。圆韧带是
 ->A. 存在左叶间裂
 ->B. 脐静脉的残留
 ->C. 在严重的肝硬化时可见再通
 ->D. 在横切面上是一个回声增强光点
 ->E. 常在门静脉之上

61. 胰腺原发性腺癌声像图是
 ->A. 常见胰腺头部肿块
 ->B. 伴有胆囊扩大
 ->C. 腺体增大伴有不规则结节状边缘
 ->D. 胆总管扩张
 ->E. 肝内胆管扩张

62. 胎儿水肿的原因是
 ->A. 先天性心脏病
 ->B. Rh因子不合
 ->C. 糖尿病
 ->D. ABO溶血
   E. 以上都不是

63. 肝糖原累积症是一种遗传代谢障碍的疾病，下列肝糖原累积症的超声声像图描述中，哪些是正确的
 ->A. 肝脏均匀弥漫性增大，表面平滑，界限清晰
 ->B. 肝实质回声致密，明显增强，后方可出现明显的声衰减
 ->C. 肝内实质可无异常回声团块，肝内管状结构欠清晰
 ->D. 可合并双肾增大，形态规则，肾内结构正常
   E. 可有肾脏双侧均增大，肾实质回声致密增强，与肾窦回声区别不明显

64. 原发性醛固酮增多症的超声表现
 ->A. 多单发，仅10%多发或双侧病变
   B. 多发，仅10%单发或双侧病变
 ->C. 腺瘤体积小，仅1 cm+
   D. 腺瘤体积大，≥3 cm
 ->E. 瘤体呈球形，边界整齐，内呈低回声

65. 肝糖原累积症是一种遗传代谢障碍的疾病，下列肝糖原累积症的超声声像图描述中，哪些是正确的
 ->A. 肝脏均匀弥漫性增大，表面平滑，界限清晰
 ->B. 肝实质回声致密，明显增强，后方可出现明显的声衰减
 ->C. 肝内实质可无异常回声团块，肝内管状结构欠清晰
 ->D. 可合并双肾增大，形态规则，肾内结构正常
   E. 可有肾脏双侧均增大，肾实质回声致密增强，与肾窦回声区别不明显

66. 结节性甲状腺肿的声像图特征
 ->A. 左右甲状腺不对称增大，有多发结节，无包膜
   B. 左右甲状腺不对称增大，有单发结节，有包膜
 ->C. 甲状腺内结节边界模糊，不规整，结节周围无正常甲状腺组织
   D. 甲状腺内结节边界清晰，形态规整，结节周围正常甲状腺组织界限清楚
 ->E. CDFI呈多彩状，可见血管绕行征、彩球征

67. 绒毛膜癌可继发于
 ->A. 葡萄胎后
 ->B. 足月生产后
 ->C. 宫外孕
 ->D. 流产后
 ->E. 未婚女子的卵巢内

68. 易造成漏诊的胆囊结石
 ->A. 在胆囊底部
 ->B. 哈氏囊内
 ->C. 泥沙样
 ->D. 囊壁内
 ->E. 充满型

69. 下列哪些是前列腺增生的特点
 ->A. 内外腺比例异常
 ->B. 前列腺结石
 ->C. 前列腺增大
 ->D. 出现增生结节
 ->E. 向膀胱腔突出

70. 热指数在不同器官要求的限值不同，正确的是
 ->A. 通常一般调在1.0以下
   B. 对胎儿调至0.2以下
 ->C. 对胎儿调至0.4以下
 ->D. 对眼球应调至0.2以下
   E. 对神经系统组织应调到0.6以下
解析：热指数的特性。

71. 下列关于肾上腺髓样脂肪瘤描述正确的有
 ->A. 可有两种声像图表现
 ->B. 患侧肾上腺大于健侧
   C. 与邻近肾周围脂肪组织间无明显包膜
 ->D. 可随呼吸活动而变形
 ->E. 呈三角形、新月形或不规则形

72. 患者，女性35岁，查体时超声发现腮腺囊肿，其超声表现正确的是
 ->A. 边缘整齐、界限清楚
 ->B. 内为无回声区
 ->C. 多呈圆形
   D. 形态欠规则
 ->E. 后方回声增强

73. 患者，女40岁，临床诊断结节性甲状腺肿，其超声特点哪项是正确的
 ->A. CDFI示血流丰富，沿结节绕行
 ->B. 颈前部肿大、增粗
 ->C. 结节大小不等，分布不均
 ->D. 甲状腺内多个结节
   E. 结节都是实性的

74. 患者，女60岁，临床诊断Buerger病，其表现是
 ->A. 是发生在四肢膝、肘关节远端，中小型动脉节段性的全层炎症性疾病
   B. 其伴行动脉也常伴有炎症和血栓形成
 ->C. 其超声表现，在二维图像上显示病变动脉内膜增厚、毛糙
 ->D. 病变部位与正常部分界限分明
 ->E. 彩色及脉冲多普勒显示节段性动脉狭窄、闭塞及伴行静脉炎症、血栓同时存在的血流色彩和频谱的相关改变

75. 纵膈常见囊肿有哪些
 ->A. 胸内甲状腺囊肿
 ->B. 胸腺囊肿
 ->C. 囊性淋巴管瘤
 ->D. 纵膈内动脉瘤
 ->E. 心包囊肿

76. 肝囊肿声像图的特征性表现有
 ->A. 圆形或椭圆形无回声
 ->B. 有包膜
 ->C. 有侧壁声影
 ->D. 后方回声增强
   E. 后方声影

77. 患者，男，17岁，突发右侧睾丸疼痛1小时，临床诊断右侧睾丸扭转，其超声表现正确的是
 ->A. 内部回声欠均匀
 ->B. 睾丸内呈中等回声
 ->C. 睾丸周围少量液体
 ->D. 睾丸轻度肿大
 ->E. CDFI睾丸内血流信号消失

78. 下列哪项是肝癌治疗后，观察有否复发的有效筛选手段
 ->A. CT
 ->B. B超
 ->C. CDFI
 ->D. MRI
   E. 核素检查

79. 下列对艾布斯坦畸形的超声描述正确的是
 ->A. 右心房显著增大
 ->B. 三尖瓣叶下移距离>15 mm
   C. 肺动脉增宽并肺动脉高压
 ->D. 三尖瓣重度关闭不全
   E. 房间隔中段可见回声失落

80. 淋巴结转移癌的超声特点
 ->A. 淋巴结肿大，短轴增大，长（L）/宽（S）<2
 ->B. 肿大淋巴结被膜不完整，数个淋巴结融合在一起
 ->C. 肿大淋巴门部偏心
   D. 肿大淋巴门部增大
 ->E. CDFI：血刘多丰富，呈高速高阻型，RI>0.7

81. 胰腺原发性腺癌声像图是
 ->A. 常见胰腺头部肿块
 ->B. 伴有胆囊扩大
 ->C. 腺体增大伴有不规则结节状边缘
 ->D. 胆总管扩张
 ->E. 肝内胆管扩张

82. 下列超声表现中属于膝关节类风湿性关节炎的是
 ->A. 关节以滑膜增生为主，滑膜边缘回声不清
 ->B. 关节软骨表面凹凸不平
 ->C. 可在骨隆起处出现类风湿结节
 ->D. 关节游离体形成
 ->E. 出现腘窝囊肿

83. 下列哪些疾病可以出现胆囊壁增厚
 ->A. 低蛋白血症
 ->B. 胆囊炎（急或慢性）
 ->C. 腺肌症
 ->D. 胆囊癌
 ->E. 胆囊萎缩

84. 下列哪些是多囊卵巢综合征的特点
 ->A. 月经稀少，不孕
   B. 子宫增大
 ->C. 多毛、肥胖
 ->D. 卵巢可见＞10个无回声区，直径＜1.0 cm
   E. 有痛经

85. 患者，女40岁，临床诊断子宫腺肌症，其声像图的叙述，正确的是
 ->A. 子宫腺肌症为子宫内膜在子宫肌层内生长
 ->B. 子宫前后壁不对称性增大
   C. 子宫内膜组织若侵入局部，使周围肌肉组织高度增生可形成子宫肌瘤
 ->D. 彩超可探及点、条状血流
 ->E. 可合并子宫肌瘤

86. 皮质醇功能不全的原因包括
 ->A. 双侧肾上腺皮质萎缩
 ->B. 双侧肾上腺结核
 ->C. 双侧肾上腺皮质转移性癌
 ->D. 双侧肾上腺切除
 ->E. 先天性肾上腺发育不全

87. 下列哪些是前列腺增生的特点
 ->A. 内外腺比例异常
 ->B. 前列腺结石
 ->C. 前列腺增大
 ->D. 出现增生结节
 ->E. 向膀胱腔突出

88. 子宫内膜异位症的临床表现有
 ->A. 月经失调
 ->B. 痛经
 ->C. 不育症
 ->D. 大便坠胀
 ->E. 查体可发现有子宫粘连

89. 单纯膜部室间隔缺损的超声表现，以下正确的是
 ->A. 左心系统增大
   B. 右心系统增大
 ->C. 室间隔膜周部可见回声失落
 ->D. 该处可记录到左向右的穿隔血流信号
   E. 主动脉骑跨于室间隔上

90. CDFI检测输尿管膀胱开口处结石的特点
 ->A. 输尿管膀胱开口喷尿频率减少
 ->B. 输尿管膀胱开口喷尿尿流变短
 ->C. 输尿管膀胱开口喷尿消失
   D. 输尿管膀胱开口喷尿频率增多
   E. 输尿管膀胱开口喷尿尿流变粗

91. 下列符合双胎双顶径测量特点的有
 ->A. 双胎之间双顶径差应在4 mm之内
   B. 双胎之间双顶径的差应在1～2 mm之间
   C. 双胎之间双顶径差应在2 mm之内
 ->D. 双胎中甲胎比乙胎双顶径小6 mm，应认为甲胎宫内发育迟缓
 ->E. 双胎双顶径稍小于单胎双顶径

92. 患者，女，42岁，临床诊断椎-基底动脉供血不足，以下符合其表现的是
 ->A. 是指椎-基底动脉系统缺血引发的病理过程
   B. 椎-基底动脉狭窄或闭塞，颅内段以椎动脉从锁骨下动脉起始段多见
 ->C. 二维图线见受累部位血管管壁局限性增厚，有回声强弱不等、大小不一的斑块附着于管壁
 ->D. 彩色多普勒见狭窄处血流通过受阻，出现杂色血流信号
 ->E. 彩色多普勒见闭塞时患部无血流信号

93. 超声可以用以诊断哪些骨骼、关节、肌肉疾病
   A. 正常骨的完整声像图
 ->B. 子宫内胎儿、新生儿及1岁以内婴儿的骨骼
 ->C. 骨膜下血肿
 ->D. 关节间隙病变
 ->E. 实时评价肌腱和肌肉运动

94. 下列描述中哪些是附睾结核的特点
 ->A. 首先发生于附睾尾，以后扩大到附睾其他部位和睾丸
 ->B. 病程较长者出现钙化强回声，伴有声影
 ->C. 容易累及睾丸，在睾丸内出现低回声或中等回声病灶
 ->D. 病程进展可累及阴囊皮肤甚至破溃形成窦道
   E. CDFI：炎症区血流增多

95. 中纵膈常见疾病包括
 ->A. 恶性淋巴瘤
 ->B. 淋巴结结核
 ->C. 纵膈巨大淋巴结增生
 ->D. 淋巴结转移性癌
   E. 神经纤维瘤

96. 下列关于重复肾的特点正确的有
 ->A. 有两个肾盂
 ->B. 输尿管可呈 “Y”型
 ->C. 输尿管可全部重复
 ->D. 男性输尿管可开口于精囊、射精管
 ->E. 女性输尿管可开口于尿道、阴道、子宫颈

97. 超声可以用以诊断哪些骨骼、关节、肌肉疾病
   A. 正常骨的完整声像图
 ->B. 子宫内胎儿、新生儿及1岁以内婴儿的骨骼
 ->C. 骨膜下血肿
 ->D. 关节间隙病变
 ->E. 实时评价肌腱和肌肉运动

98. 子宫内膜异位症的临床表现有
 ->A. 月经失调
 ->B. 痛经
 ->C. 不育症
 ->D. 大便坠胀
 ->E. 查体可发现有子宫粘连

99. 下列肝硬化的超声声像图描述中，哪些是正确的
 ->A. 肝体积不同程度改变，早期可为均匀性增大，晚期可因纤维化而肝脏变小
 ->B. 晚期肝脏变化明显，表面平滑或结节状隆起，界限清晰，夹角锐利
 ->C. 肝实质回声增强，尤以晚期明显，回声致密，分布均匀或欠均匀
 ->D. 肝门静脉可增粗
 ->E. 脾静脉增粗，脾脏增大

100. 患者出现脑栓塞症状，超声心动图发现左房内血栓形成，左房血栓的超声特点包括
 ->A. 基底部宽
