1. 患者15岁，男性，自幼肌肉僵硬，张力高，随意运动出现局部强直，肌僵硬更明显，易疲劳无力，检查受累肌肉肥大，硬韧，机械刺激后产生持续性肌肉收缩，出现肌丘或局部肌肉凹陷。EMG检查呈强制性放电。超声检查见受累肌肉肥厚，肌束回声粗大，受刺激后肌肉强直收缩时更明显，肌腹呈条索样隆起，回声减低，其他肌肉无异常。最可能的诊断为
解析：结核性心包炎心包腔内显示中到大量积液，液体多呈无回声液性暗区，也可在液体内显示水草状、飘带状的光带漂动。光带多黏附在脏层心包，长短、粗细不等。也有的患者心包腔内显示出大量的纤维光带，但在液体内无明显的漂动。

11. 一消化道出血的女性患者，胃肠超声检查示胃壁不规则增厚，层次消失，胃窦近小弯侧可见56mm×50mm低回声不均匀肿块，表面回声增强，呈“火山口”状，该患者可能出现的超声表现有
   A. 胃壁蠕动减弱
   B. 胃内可见大量潴留物
   C. 胃周围可见肿大淋巴结
   D. 双侧卵巢见实性肿块
 ->E. 以上均可能
解析：胃窦肿瘤可导致胃壁蠕动减弱及梗阻、胃周围淋巴结转移及卵巢、腹膜、肝脏等的转移。

12. 患者35岁，男性，因右膝关节周围肌肉内局部触到疼痛性肿块来诊，半年前有外伤史。查体：肿块骨样硬，无移动性，有压痛，关节活动受限。超声检查见肿块呈不规则、多层密集强回声团，有明显声影，边缘回声不清。最可能的诊断为
   A. 肌肉血肿
   B. 横纹肌溶解症
 ->C. 局限性骨化性肌炎
   D. 先天性肌强直
   E. 以上都不是

13. 肝脏形态饱满，边缘变钝，肝脏近腹壁的前1/3区域回声增强，呈密集的细小点状，深部回声减弱，最可能的诊断是
   A. 淤血肝
 ->B. 脂肪肝
   C. 急性肝炎
   D. 慢性肝炎
   E. 急性肝坏死
解析：脂肪肝时，肝脏形态饱满或不同程度增大，肝缘显示欠清晰。肝脏近腹壁的前1/3区域回声增强，呈密集的细点状，深部的后1/3区域回声明显减弱减少，中间1/3区域回声逐渐减弱减少。肝内血管显示减少，血管韧带显示不清。

14. 患者男性，7岁，呼吸困难，乏力，杵状指（趾），超声心动图表现为胸骨旁大动脉短轴观显示“双环”征，室间隔连续中断，主动脉在右前方，发自右心室，肺动脉在左后方，发自左心室，二尖瓣反流。超声诊断应为
 ->A. 完全型大动脉转位
   B. 矫正型大动脉转位
   C. 右室双出口
   D. Taussig-Bing综合征
   E. 左室双出口

15. —位右上腹不适患者，超声检查发现胆囊颈部有10 mm强光团，后伴声影，胆囊壁黏膜层连续，胆囊腔内可见一边界尚清、形态不规则的稍低回声团块，随体位改变略有移动，其内未见明显血流信号，可能的诊断为
   A. 胆囊结石伴胆囊癌
   B. 胆囊结石伴胆囊腺瘤
 ->C. 胆囊结石伴陈旧性胆汁团
   D. 胆囊结石伴胆囊穿孔
   E. 肝肿瘤浸润胆囊腔

16. 患者女性，68岁，超声示胃壁增厚，形成大小为9.2 cm×7.5 cm的低回声实性肿块，是由数个弱回声结节融合而成，内部透声好，探头加压发生变形，最可能的诊断是
   A. 胃平滑肌瘤
   B. 胃息肉
 ->C. 胃恶性淋巴瘤
   D. 胃平滑肌肉瘤
   E. 胃间质瘤

17. 患者男性,56岁，无明显自觉症状，出现无痛性肉眼血尿。超声特征：左肾实质内可见一5cm左右低回声不均匀实质性肿块，表面呈分叶状，内部及周边均可探及较丰富血流信号，肾窦受压变形。本病可诊断为
   A. 肾脓肿
   B. 肾结核
   C. 多囊肾
   D. 肾囊肿
 ->E. 肾癌
解析：肾脓肿、多囊肾、肾囊肿为肾内囊性肿块；肾结核声像图复杂多变，仅早期局部肿胀时表现为局部的均匀性/非均匀性回声减弱，酷似肾肿瘤，但内部及周边探及不到较丰富血流信号，因此结合患者的临床症状及声像图表现，答案选择E。

18. 患者中年男性，结肠癌术后2年，无乙肝史，超声检查肝回声密集增强，后方伴有声衰减，右肝前叶下段胆囊旁可见范围约18×15 mm的类圆形低回声区，超声诊断应首先考虑下面哪组疾病的鉴别
   A. 肝腺瘤与肝转移癌
   B. 原发性肝癌与肝转移癌
   C. 肝血管瘤与肝转移癌
 ->D. 非均匀性脂肪肝与肝转移癌
   E. 肝脓肿与肝转移癌

19. 患者，男性，19岁，近几月活动后气喘，无发绀，超声心动图检查：左室扩大；心内可见明显舒张期分流信号，呈湍流频谱，最可能的诊断是
   A. 房间隔缺损
   B. 室间隔缺损
   C. 动脉导管未闭
 ->D. 冠状动脉瘘
   E. 主-肺动脉间隔缺损
解析：青年活动气喘需排除先心。房缺右心大，其余选项先心均可导致左心扩大。但室缺是收缩期左向右分流；动脉导管未闭与主肺动脉缺损是双期连续分流，即舒张期也有分流，但均发生在大动脉水平，不是心内分流。只有冠状动脉瘘入左室是舒张期分流，因冠脉血流是舒张期灌注为主的，心肌收缩时冠脉被压闭，血流减少。

20. 患者女性，26岁，无明显自觉症状。体检时超声发现左肾上极实质内可见一1.5 cm、边界清晰、高回声实性肿块，内部及周边未探及明显血流信号，其余肾内结构未见异常。本病可诊断为
 ->A. 肾错构瘤
   B. 肾结核
   C. 肾囊肿
   D. 髓质海绵肾
   E. 肾脓肿

21. 男性，45岁。发现左颈前包块1个月，出现声音嘶哑2周。超声检查：甲状腺左叶单发，境界不清，低回声结节，内有细小点状强回声，伴有左颈部淋巴结肿大。首先要考虑的诊断是
   A. 甲状腺腺瘤
 ->B. 甲状腺癌
   C. 甲状腺囊肿
   D. 结节性甲状腺肿
   E. 桥本病

22. 患者，女，16岁，心脏超声检查：剑下两房切面显示下腔静脉入口处房间隔回声中断，下腔静脉骑跨于房间隔上，考虑为房间隔缺损哪型
   A. 中央型
   B. 上腔型
 ->C. 下腔型
   D. 冠状窦型
   E. 混合型

23. 患者女性，24岁，呼吸困难，乏力，上腹部疼痛。体征有肝肿大，胸腹水，颈静脉怒张。听诊有心音低钝，胸骨左缘3、4肋间可闻及心包叩击音。超声心动图诊断为缩窄性心包炎，其表现不包括
   A. 心包增厚粘连
   B. 心包钙化
   C. 左室舒张受限
 ->D. 常伴大量心包积液
   E. 下腔静脉增宽

24. 患者女性，39岁，突然头痛、心悸、呕吐、视力模糊就诊，血压：160/120 mmHg。超声特征：右肾上腺区可见一3 cm大小边界清楚的低回声实性肿块。本病最有可能的诊断为
   A. 肾上腺皮质腺瘤
   B. 肾上腺血肿
 ->C. 肾上腺嗜铬细胞瘤
   D. 肾上腺神经母细胞瘤
   E. 肾上腺结核

25. 患者，女性，72岁，二尖瓣生物瓣置换术后行超声评价，下列说法正确的是
   A. 最好的测量功能瓣口的面积的方法是:220/压力减半时间
   B. 最好的测量功能瓣口的面积的方法是:270/压力减半时间
   C. 最好的测量功能瓣口的面积的方法是:1.5×（270/压力减半时间）
 ->D. 二尖瓣置换术后有效瓣口面积用PHT法是不正确的
   E. 以上都不正确

26. 患者，男性，50岁，间歇性无痛性肉眼血尿，超声检查发现左肾下极一实性肿块，并向包膜外明显突出，超声检查时应特别注意
 ->A. 下腔静脉和肾静脉内有无癌栓
   B. 鉴别病灶的良、恶性
   C. 肝脏和胰腺有无转移
   D. 膀胱内有无转移
   E. 腹膜后有无淋巴结肿大

27. 一位青年人无明显不适，体检时，超声发现肝脏内有一个20 mm的强回声占位性病变，这提示最可能是
 ->A. 肝血管瘤
   B. 小肝癌
   C. 肝结节
   D. 局限性脂肪肝
   E. 肝良性腺瘤

28. 患者王某，干下型室间隔缺损，左向右分流，用超声检测，要了解其峰值跨隔压差，应检测什么参数
 ->A. 分流血流的收缩期峰值速度（Vs）
   B. 分流血流的收缩期与舒张期速度比值（S/D）
   C. 分流血流的平均速度（Vm）
   D. 分流血流的阻力指数（RI）
   E. 分流血流的时间速度积分（VTI）

29. 患者男性，24岁，发热3天后出现腰痛，尿量明显减少。超声特征：双侧肾脏明显增大，肾实质增厚，回声增高，肾锥体肿大，回声极低，肾窦受压面积缩小。本病可诊断为
   A. 肾脓肿
 ->B. 急性肾衰竭
   C. 慢性肾衰竭
   D. 肾结核
   E. 肾血肿

30. 患者男性，49岁，胆囊颈部侧壁见一个2.3 cm×1.5 cm的基底较宽的低回声团块，自囊壁突向腔内，表面不平整，彩色多普勒于其基底部探及少量条状搏动性血流频谱，胆囊浆膜层连续性欠佳。其最可能的诊断是
   A. 胆囊胆固醇沉着症
 ->B. 结节型胆囊癌
   C. 胆囊腺瘤
   D. 胆囊炎性息肉
   E. 胆囊腺肌增生症局限型

31. 患者，女性，72岁，二尖瓣置换术后出现收缩期杂音。根据经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/9b9c58d46ac741598c1e3e9dc662a9d1.jpg "/>，下列选项正确的是
 ->A. 二尖瓣机械瓣瓣周漏
   B. 双叶瓣瓣周漏
   C. 二尖瓣机械瓣瓣反流
   D. 正常双叶瓣关闭不全
   E. 以上都不正确

32. 患者女性，27岁，无不适。AFP（-），肝功能检查 正常，超声检查时肝左外叶见一54 mm×53 mm弱回声肿块，轮廓清晰，有细强回声包膜，内部为小岛状弱回声区，之间可见强回声细分隔，正确的诊断是
 ->A. 肝血管瘤
   B. 肝细胞癌
   C. 肝局灶性结节性增生
   D. 肝脏炎性假瘤
   E. 肝腺瘤样增生

33. 患者女性，18岁，无月经来潮，因周期性腹痛就诊，无发热。超声检查：子宫体正常，子宫下方相当于阴道位置可见82 mm×53 mm边界清楚，椭圆形液性暗区，内透声不好，有较多细弱回声光点。可能的诊断为
   A. 卵巢囊肿
   B. 盆腔脓肿
   C. 巧克力囊肿
 ->D. 处女膜闭锁
   E. 盆腔包裹性积液

34. 患者，男性，32岁，有主动脉瓣置换病史，因怀疑主动脉夹层行经食管超声心动图如图<img src="https://exam.mvwchina.com/upload/2016/12/9be3101674314ca981e52cf8262b9067.jpg "/>，该患者更换的是哪种类型的主动脉瓣瓣膜
   A. 生物瓣
   B. 主动脉瓣同种瓣膜移植
   C. 主动脉瓣自体移植
 ->D. 机械瓣
   E. 以上都不正确

35. 患者，男，55岁，自述食欲不振，上腹部不适，皮肤瘙痒发黄， 间断性发热1周。临床检查：巩膜及皮肤黄染。超声检查：胰头外侧可见2.9 cm×2. 9 cm低回声区，形态不规则，边界不清，呈毛刺状。胆总管内径1.3 cm。超声提示
   A. 腹膜后肿大淋巴结
   B. 胆总管结石
 ->C. 壶腹周围占位
   D. 平滑肌肉瘤
   E. 胰头癌

36. 患者，女，13岁，心脏超声诊断为左侧三房心，以下病理解剖及超声表现描述错误的是
   A. 左房内见异常隔膜回声
   B. 肺静脉内径增宽
   C. 可并存房间隔缺损
   D. 副房接受部分或全部肺静脉血流
 ->E. 副房与左心耳、二尖瓣相连通，通过狭小的口与真性左房交通

37. 患者，男性，27岁，体检发现肝内1.7 cm×1.6 cm大小单发高回声结节，边界清晰，后方回声轻度增强，其内及周边无明显血流信号，最可能的诊断是
   A. 肝硬化结节
   B. 局限性脂肪肝
   C. 肝转移癌
   D. 原发性肝癌
 ->E. 血管瘤

38. 男性，52岁。反复发热伴右上腹疼痛。超声检查示左肝管内数个大小不等的强回声团，前方与胆管壁之间见液性暗带，后方伴声影。提示诊断为
   A. 肝内钙化灶
   B. 肝内胆管积气
 ->C. 肝内胆管结石
   D. 胆管细胞肝癌
   E. 胆道蛔虫

39. 患者男，4岁，先天性心脏病来我院就诊，以下二维超声表现符合原发性房间隔缺损的是
 ->A. 显示房间隔最低位处（房、室间隔连接处）缺损
   B. 显示左心室扩大
   C. 显示房间隔最上部（近心房顶部处）缺损
   D. 显示室间隔上段缺损
   E. 显示房间隔中央部缺损

40. 男性乳腺癌的超声表现
 ->A. 与女性乳腺癌相同
   B. 乳腺腺体层增厚，结构紊乱，分布不均，但未见占位病变
   C. 乳腺内有少量乳腺导管，不含腺泡，处于不发育状态
   D. 乳腺肿物生长迅速，边界清晰，呈圆形、分叶状均匀低回声
   E. 以上都不正确

41. 患者，男性，27岁，体检发现肝内1.7 cm×1.6 cm大小单发高回声结节，边界清晰，后方回声轻度增强，其内及周边无明显血流信号，最可能的诊断是
   A. 肝硬化结节
   B. 局限性脂肪肝
   C. 肝转移癌
   D. 原发性肝癌
 ->E. 血管瘤

42. 某患者，超声检查为主动脉瓣狭窄，其瓣口面积约0.8 cm<sup>2</sup>
，连续多普勒测其跨瓣血流速度3.6 m/s，其狭窄程度为
   A. 轻度
 ->B. 中度
   C. 重度
   D. 无法定量
   E. 必须测瓣口间距估计

43. 患者男性，36岁，无自觉症状。体检时超声所见：左肾大小、形态正常，下极实质显示一边界清楚、薄壁、圆形的无回声区，后方回声增强，其余肾实质回声正常。本病可诊断为
   A. 肾错构瘤
   B. 肾结核
   C. 多囊肾
 ->D. 肾囊肿
   E. 肾癌
解析：肾错构瘤的声像图往往呈现圆形，边界清晰的高回声；肾结核声像图复杂多变，早期无改变或仅表现为局部的均匀性/非均匀性回声减弱，重者出现多发厚壁不同大小的片状透声不良无回声区；多囊肾表现为双肾增大，表面不规则，肾内出现多数大小相差悬殊、囊壁整齐、圆形无回声区，互不连通；肾肿瘤为肾内实质性肿块，较大时内部可有液化坏死，只有肾囊肿符合上述声像图表现。

44. 患者男性，56岁，无明显自觉症状，出现无痛性肉眼血尿。超声特征：左肾实质内可见一5 cm左右低回声不均匀实质性肿块，表面呈分叶状，内部及周边均可探及较丰富血流信号，肾窦受压变形。本病可诊断为
   A. 肾脓肿
   B. 肾结核
   C. 多囊肾
   D. 肾囊肿
 ->E. 肾癌

45. 患者女性，30岁。因右上腹疼痛，食欲下降就诊。超声所见：肝大，肝实质回声尚均匀，门静脉分支管壁回声增强，过度显示，胆囊壁增厚呈双层结构，胆囊充盈不佳，胆囊内有沉积性回声点，最可能的诊断为
 ->A. 急性肝炎
   B. 胆囊炎
   C. 慢性肝炎
   D. 肝豆状核变性
   E. 急性肝坏死

46. 患者50岁，女性，发现颈部局部隆起半年，生长缓慢，查体：病变处无红肿，无压痛，质地柔软，无粘连，有一定活动度；超声检查见皮下形态规则、边缘整齐、界限清楚、表面平滑的实性团块，内部为弥漫、大致均匀的较强回声区，后方无回声增强。最可能的诊断为
   A. 颈部淋巴结炎
   B. 颈部淋巴瘤
   C. 颈部神经纤维瘤
 ->D. 颈部脂肪瘤
   E. 以上都不是

47. 患者，男性，48岁。劳力后心悸气短12年，反复下肢水肿半年，饮酒史20年300 ml/d以上。查体：颈静脉怒张，心界向两侧扩大，心率快，心音低钝，心尖部2/6SM，三尖瓣区2/6SM，两肺细小水泡音。心电图：左束支完全性传导阻滞，低电压，sT-T改变。超声心动检查，下列不符合本病诊断的是
   A. 左室、右室增大
   B. 二尖瓣、三尖瓣反流
   C. 室壁运动减弱
 ->D. IVS：LVPW=1.3：1
   E. 大心腔，小瓣口征

48. 患者女性，31岁。婚后4年，既往月经规律。现停经54天，不规则阴道流血4天。超声检查：于左侧附件区可见平均内径为25 mm妊娠囊，并见胚芽及原始心管搏动。最不可能的妊娠部位是
 ->A. 输卵管峡部
   B. 输卵管壶腹部
   C. 卵巢
   D. 阔韧带
   E. 输卵管间质部

49. 男性，50岁，无痛性血尿，超声示膀胱三角区乳头状隆起性病灶2 cm×3 cm，基底部较宽，不随体位移动。最可能的诊断是
   A. 血管瘤
 ->B. 膀胱癌
   C. 膀胱结石
   D. 膀胱内血凝块
   E. 膀胱内异物

50. 某患者，超声检查为主动脉瓣狭窄，其瓣口面积约0.8 cm<sup>2</sup>，连续多普勒测其跨瓣血流速度3.6m/s，其狭窄程度为
   A. 轻度
 ->B. 中度
   C. 重度
   D. 无法定量
   E. 必须测瓣口间距估计

51. 患者，女，23岁，心脏超声检查示二尖瓣回声轻度增强，开放受限，左室内仅见一个乳头肌，前后瓣叶的腱索均附着于此，考虑为
   A. 吊床样二尖瓣
 ->B. 降落伞样二尖瓣
   C. 二尖瓣关闭不全
   D. 二尖瓣脱垂
   E. 以上都不是

52. 患者，女，心脏超声检查示心底部仅见一支大血管，一组半月瓣，室间隔干下部连续性中断，肺动脉起自动脉总干，考虑为
 ->A. 永存动脉干
   B. 右室双出口
   C. 大动脉转位
   D. 法洛四联症
   E. 以上都不是

53. 患者28岁，男性，腮腺区疼痛、口干半年，进食时症状加重，查体发现腮腺区肿胀，挤压腮腺导管口可有黏稠液体流出；超声声像图表现为腮腺不等程度弥漫性肿胀，腺体回声大致均匀，其内导管部分显示不清，可见强光点，最可能的诊断为
 ->A. 腮腺炎
   B. 腮腺增生
   C. 涎石病
   D. 腮腺海绵状血管瘤
   E. 涎腺囊肿

54. 患者，男性，30岁，临床拟诊急性胆囊炎，声像图表现下列哪一项有特异性
   A. 胆囊壁增厚
   B. 胆囊增大
   C. 合并胆囊结石
   D. 胆囊内出现细小回声点
 ->E. 胆囊壁增厚合并超声Murphy征阳性

55. 一患者因黄染一周就诊。超声示肝脏肿大，回声增强，肝内胆管树枝状扩张，肝外胆管未显示，胆囊未充盈，其梗阻部位最可能为
   A. 胆总管十二指肠后段
   B. 胆总管壶腹部
   C. 胆总管胰腺段
 ->D. 肝门部
   E. 胆总管十二指肠上段
解析：在空腹条件下，超声检查时，正常人的肝外胆管的上段及胆囊均应显示。当肝门部发生梗阻，肝内胆管因胆汁淤积而扩张，而肝外胆管和胆囊因无正常胆汁充盈导致超声难以显示。当然若肿瘤浸润较广泛，破坏了肝外胆管亦难以显示。

56. 患者女，37岁，孕4产1，下腹部及腰骶部疼痛约6年，临床诊断盆腔静脉淤血综合征，申请超声检查，下述各项不支持该诊断的是
   A. 大多数发生在30～50岁的经产妇
   B. 是由多种因素引起的盆腔静脉血管充血、扩张和淤血所致的综合征
   C. 是引起妇科慢性疼痛的重要原因之一
   D. 声像图主要表现为子宫旁串珠状或蜂窝状无回声区，呈红、蓝相间血流
 ->E. 频谱为连续、高速、搏动性波形
解析：盆腔静脉淤血综合征表现为盆腔静脉迂曲扩张，血流缓慢，因此频谱形态为连续、低速、无搏动的波形。

57. 患者女性，65岁，活动后疲劳、气短；听诊可于心尖部闻及全收缩期吹风样杂音。彩色多普勒显示收缩期左房内以蓝色为主的花彩血流，面积18.6 cm<sup>2</sup>，超声诊断为
   A. 二尖瓣反流，轻度
   B. 二尖瓣反流，中度
 ->C. 二尖瓣反流，重度
   D. 三尖瓣反流，轻度
   E. 三尖瓣反流，中-重度

58. 患者，男，38岁患者，晚餐后突发腹痛8小时，腹胀腹痛，频繁呕吐，行超声检查，最可能的表现为
   A. 上腹部肠管扩张，可见假肾征
 ->B. 上腹部肠管扩张，可见鱼刺征、羽毛征
   C. 彗尾征
   D. 下腹部肠管扩张，可见结肠袋与半月襞
   E. 幽门管肥厚

59. 患者，男性，18岁，胸痛。经胸超声心动图大动脉短轴观所示，根据肺动脉瓣口血流频谱<img src="https://exam.mvwchina.com/upload/2016/12/7ba4af6aaa8b48af995a1cd2e2a026e1.jpg "/>，下列选项正确的是
 ->A. 应进行球囊瓣膜成形术
   B. 有肺动脉瓣瓣下狭窄
   C. 可能有肺动脉瓣二瓣化畸形
   D. 胸痛与瓣膜损害无关
   E. 以上都不正确

60. 患者，女，32岁，以下腹包块就诊，超声发现子宫左侧约5.0 cm×4.6 cm低回声肿物，手术病理证实为子宫浆膜下肌瘤。应与下列哪种疾病进行鉴别
   A. 滤泡囊肿
   B. 黄体囊肿
 ->C. 卵巢实性肿瘤
   D. 囊性畸胎瘤
   E. 卵巢浆液性囊腺瘤

61. 患儿，男，1岁，口唇发绀，超声检查：左房-左室-肺动脉相连，右房-右室-主动脉相连，并伴有室间隔缺损，应诊断为
   A. 法洛四联症
 ->B. 完全型大动脉转位
   C. 右室双出口
   D. 永存动脉干
   E. 矫正型大动脉转位

62. 肝脏形态饱满，边缘变钝，实质回声增强，呈密集的细小点状，肝门区门静脉左支旁见片状低回声区，边界清楚，形态不规则，对门静脉无挤压。该低回声区最可能的诊断是
 ->A. 肝脏弥漫脂肪浸润残存的小片相对正常肝组织
   B. 肝腺瘤样增生
   C. 肝良性腺瘤
   D. 肝脏局灶性炎性病变
   E. 肝血管瘤
解析：肝实质回声弥漫性增强为脂肪浸润区域，其内出现的局限性片状弱回声区，为轻度脂肪浸润或相对正常肝残留区。好发于胆囊床，门静脉主干周围，无包膜，对周围胆囊、血管等结构无挤压即无肿瘤征象等超声特征有助于诊断。

63. 患者，男性，65岁，活动后胸闷1周，既往无心脏病病史。经胸超声心动图胸骨旁长轴观所示，左心室后壁室壁变薄，回声增强，运动减弱，如箭头所指，根据彩图<img src="https://exam.mvwchina.com/upload/2016/12/5c8870ea16944e1c82c40881ba5770fd.jpg "/>，下列诊断正确的是
   A. 二尖瓣钙化
   B. 风湿性心脏病引起的二尖瓣病变
 ->C. 既往无症状性心梗引起的心内膜下心梗瘢痕
   D. 心包钙化
   E. 以上都不正确

64. 一位胆囊切除患者，超声检查发现沿肝内胆管走行可见形态不稳定的条索状强回声，紧贴胆管前壁，可见多重反射回声带，超声诊断为
   A. 肝内胆管钙化
   B. 肝内胆管结石
 ->C. 肝内胆管积气
   D. 胆系感染
   E. 肝吸虫病

65. 一位患者胃切除术后6天，超声检查示胆囊增大，壁稍厚，胆囊内充满点状稍高回声，胆囊区无压痛。超声诊断为
   A. 急性胆囊炎
 ->B. 胆汁淤积
   C. 胆囊积血
   D. 胆囊充满型结石
   E. 胆囊积脓
解析：长期不进食或胃切除术后可造成胆汁淤积，进食后可改善。

66. 患者45岁，女性，颈前下方肿物数年，近一个月肿物迅速增长伴声音嘶哑；查体：该肿物质地坚硬，表面凹凸不平，随吞咽移动性差；超声检查见甲状腺内大小15×20 mm的实质不均质回声团块，边界不规则，无包膜，内部可见大小不一的无回声区，内有乳头状突起，并可见强回声光团。最可能的诊断为
   A. 甲状腺滤泡状腺癌
 ->B. 甲状腺乳头状腺癌
   C. 甲状腺转移性癌
   D. 甲状腺髓样癌
   E. 以上都不是

67. 患者女性，27岁，无不适。AFP（-），肝功能检查 正常，超声检查时肝左外叶见一54 mm×53 mm弱回声肿块，轮廓清晰，有细强回声包膜，内部为小岛状弱回声区，之间可见强回声细分隔，正确的诊断是
 ->A. 肝血管瘤
   B. 肝细胞癌
   C. 肝局灶性结节性增生
   D. 肝脏炎性假瘤
   E. 肝腺瘤样增生
解析：肝血管瘤边界特征为边缘呈纤细包膜样强回声，尤其弱回声肿块常可更清晰显示此特征；较大的血管瘤其内可出现强回声带和不均匀的弱回声区，为纤维增生形成的间隔及囊状扩张的血窦所致。

68. 女性，42岁。间断无痛性血尿2年。声像图检查示右肾中下部4.6 cm×5.3 cm中等偏低回声肿块，边界清楚，内部回声欠均匀，肿块向肾表面隆起，并推挤肾窦，右肾静脉内实性回声充填。考虑诊断是
   A. 肾血管平滑肌脂肪瘤
   B. 肾母细胞瘤
 ->C. 肾细胞癌
   D. 肾盂癌
   E. 肾腺瘤内呈镶嵌样结构
解析：中等偏低回声肿块，边界清楚，内部回声欠均匀，肿块向肾表面隆起，并推挤肾窦为肾癌。

69. 患者女性，37岁。ECG示除aVR外，其余导联ST段弓背向下抬高，超声心动图显示左室后壁后及心尖部液性暗区，请指出以下哪项诊断最正确
   A. 缩窄性心包炎
 ->B. 急性心包炎并心包积液
   C. 冠心病
   D. 高血压性心脏病
   E. 急性心肌梗死

70. 患者女性，50岁，无症状，偶然发现颈粗，超声检查发现甲状腺轻度肿大，内见多个囊实性小结节，最可能是
   A. 甲状腺炎
   B. 毒性甲状腺肿
 ->C. 结节性甲状腺肿
   D. 单纯性甲状腺肿
   E. 甲状腺囊肿
解析：患者无症状，可以排除甲状腺炎及毒性甲状腺肿；囊实性结节，可以排除单纯性甲状腺肿及甲状腺囊肿。

