1. 烧伤后引起气性坏疽的致病菌是
   C. 自体大隐静脉做腹主动脉-肠系膜上动脉“搭桥”手术
   D. 血管重建后，坏死的肠段仍需切除
 ->E. 为防止再栓塞，全身肝素化

20. 下列急性阑尾炎的临床表现特点中，最具诊断意义的是
 ->A. 转移性右下腹痛
   B. 恶心、呕吐
   C. 白细胞和中性粒细胞计数增多
   D. 右下腹麦氏点压痛
   E. 排除其他腹痛性疾病

21. 以下对原发性甲状旁腺功能亢进的定性检查，无临床诊断意义的是
   A. 血清钙＞3.0 mmol/L
   B. 血清磷＜0.65～0.97 mmol/L
   C. PTH测定值明显增高
   D. 尿环磷酸腺苷（cAMP）明显增高
 ->E. 24 h尿钙排量1.9～5.6 mmol/L
解析：我国成人24小时尿钙排量1.9～5.6 mmol/L（75～225 mg），甲状旁腺功能亢进时尿钙排量增加。24小时尿钙女性＞250 mg，男性＞300 mg有诊断意义。

22. 烧伤后免疫功能失调的调理，下列不正确的是
   A. 全身营养支持疗法
   B. 成分输血
   C. 清除血中的免疫抑制物
 ->D. 应用广谱抗生素、大剂量、联合用药
   E. 应用免疫调节剂

23. 关于甲状腺乳头状癌的临床特点，下列不正确的是
   A. 最常见，分化好，单发，无包膜
 ->B. 组织病理常伴有髓样癌的成分
   C. 恶性程度较低，有时肿块小，颈部淋巴结已转移
   D. 甲状腺孤立性结节，直径多≥1 cm，质硬
   E. 常无自觉症状，多为无意间发现颈前区包块
解析：乳头状癌可伴有滤泡状癌的成分，但命名仍为乳头状癌，如含有未分化癌的成分，则命名为未分化癌，意味着未分化癌可能是乳头状癌的进一步恶化。由于组织起源不同，乳头状癌不可能含髓样癌成分。

24. 有关分化型甲状腺癌的淋巴结转移规律，下列选项错误的是
   A. 中央区多为淋巴结转移的第一站
   B. 一般先转移至同侧中央区淋巴结，随后转移至同侧颈侧区淋巴结
 ->C. 血行远处转移早于颈淋巴结转移
   D. 位于上极的肿瘤可跳跃式转移，即首先转移至同侧颈侧区淋巴结
   E. 位于峡部的肿瘤首先转移至双侧的中央区淋巴结
解析：颈部淋巴结可分为Ⅰ～Ⅶ区。Ⅰ区：包括颏下和下颌下区的淋巴结；Ⅱ区：颈内静脉上组淋巴结；Ⅲ区：颈内静脉中组淋巴结；Ⅳ区：颈内静脉下组淋巴结；Ⅴ区：含锁骨上淋巴结以及颈后区所包括的淋巴结；Ⅵ区：包括气管食管沟、气管前和喉前淋巴结；Ⅶ区：为位于胸骨上切迹下方的上纵隔淋巴结。一般<span style="mso-s

25. 有关腹膜假黏液瘤的临床特点，下列选项不正确的是
   A. 发生在腹腔壁层、大网膜及肠壁浆膜面的低度恶性黏液性肿瘤
 ->B. 病变起源于腹膜壁层，蔓延至大网膜及肠壁浆膜面，甚至卵巢、阑尾
   C. 早期临床表现无特异性，后期腹水症状明显，穿刺可抽出黏性胶样物
   D. 腹膨隆，有揉面感或硬橡皮感，CT检查可了解黏液性物质分布情况
   E. 手术应切除原发病灶，尽可能清除假黏液瘤和黏液状物

26. 关于对单纯性甲状腺肿的概述，下列错误的是
   A. 病因主要为碘缺乏，甲状腺素合成及分泌障碍
 ->B. 发生发展快，癌变率高
   C. 临床表现甲状腺弥漫性肿大或结节性肿大及压迫症状
   D. X线、B超及核素显像有助诊断
   E. 实验室检查无明显甲状腺功能变化
解析：单纯性甲状腺肿多见于地方性甲状腺肿流行区，病程长，可数年或十几年。开始为双侧甲状腺弥漫性肿大，后在甲状腺内（一侧或两侧）出现单个或多个大小不等的结节，结节质韧或较软，光滑，随吞咽上下移动，生长缓慢，一般很少发生压迫症状。甲状腺功能一般正常。部分患者合并甲亢，少数可发生癌变。

27. 急性化脓性阑尾炎的主要病理表现是
   A. 炎症限于阑尾黏膜下层
   B. 炎症限于阑尾黏膜层
   C. 炎症限于浆膜层
   D. 腹腔内有脓性液体
 ->E. 阑尾腔内积脓

28. 肝功能欠佳的门静脉高压症，脾切除术后再出血时，最适宜的术式是
   A. 门腔分流术
   B. 远端脾-肾静脉分流术
   C. TIPS手术
   D. 肠腔静脉分流术
 ->E. 胃底周围血管离断术

29. 以下肝海绵状血管瘤的外科治疗，不宜采用的是
   A. 直径＜15 cm或多发性小血管瘤者，可行血管瘤捆扎术
   B. 多发或病变广泛，无法切除者，可行肝右、肝左或肝固有动脉结扎术
   C. 单发，肝周边或局限于肝一侧者，可行肝局部切除、肝叶切除或半肝切除术
   D. 范围超过半肝，余肝代偿增大，肝功能正常者，可行肝三叶切除术
 ->E. 巨大肝海绵状血管瘤，可行硬化剂注射术

30. 脾静脉血流占门静脉血流的
   A. 10%
 ->B. 20%
   C. 50%
   D. 60%
   E. 60% 以上

31. 下列不属于阑尾黏液囊肿外科治疗要点的是
   A. 手术后容易复发，切除要彻底
   B. 注意隔离保护腹腔，避免发生腹腔种植等恶性行为
   C. 手术中应特别注意防护，切除时避免其破裂
   D. 术中发现囊肿破裂，要彻底清洗腹腔，注入5-Fu
 ->E. 术后全身化疗

32. 胆囊的血液供应，以下不正确的是
   A. 胆囊动脉大多源自肝右动脉
   B. 变异者可源自肝左、肝中、肝固有、胃十二指肠和肠系膜上动脉
   C. 胆囊动脉在Calot三角内分出深浅支分别供应胆囊床面和游离面
   D. 胆囊静脉以多个分支回流至门静脉系统，也可经胆囊床进入肝实质汇入肝静脉
 ->E. 胆囊动脉为无侧支的终末动脉，胆囊炎时易发生栓塞

33. 烧伤后造成急性肾功能不全的病理改变，主要发生在
   A. 肾近，远曲小管
   B. 基底膜
   C. 肾小管，肾小球次之
 ->D. 肾小球，肾小管次之
   E. 肾小球旁器

34. 急性化脓性阑尾炎的主要病理表现是
   A. 炎症限于阑尾黏膜下层
   B. 炎症限于阑尾黏膜层
   C. 炎症限于浆膜层
   D. 腹腔内有脓性液体
 ->E. 阑尾腔内积脓

35. 下列不属于直肠淋巴回流途径的是
 ->A. 大部分淋巴汇集于肠系膜上淋巴结
   B. 向上沿直肠上血管到肠系膜下血管根部淋巴结
   C. 向下至坐骨直肠间隙，随肛管血管到髂内淋巴结
   D. 通过淋巴网向外经会阴部到达腹股沟淋巴结
   E. 向两侧到直肠下血管淋巴结，再到髂内淋巴结

36. 胃、十二指肠溃疡出血的紧急处理，下列选项不正确的是
   A. 急性溃疡出血可通过电子内镜电凝、局部应用止血剂止血
   B. 慢性溃疡出血宜早期行胃部分切除术，穿透性溃疡采取溃疡旷置
   C. 保守治疗24小时，出血控制后，宜早期手术治疗
   D. 吻合口溃疡出血应早期手术，切除原吻合口，再次行胃空肠吻合
 ->E. 药物引起的急性溃疡出血，立即停药观察

37. 关于甲状腺乳头状癌的临床特点，下列不正确的是
   A. 最常见，分化好，单发，无包膜
 ->B. 组织病理常伴有髓样癌的成分
   C. 恶性程度较低，有时肿块小，颈部淋巴结已转移
   D. 甲状腺孤立性结节，直径多≥1 cm，质硬
   E. 常无自觉症状，多为无意间发现颈前区包块
解析：乳头状癌可伴有滤泡状癌的成分，但命名仍为乳头状癌，如含有未分化癌的成分，则命名为未分化癌，意味着未分化癌可能是乳头状癌的进一步恶化。由于组织起源不同，乳头状癌不可能含髓样癌成分。

38. 正常情况下肝脏每天的胆汁分泌量约为
   A. 200～400 ml
   B. 400～600 ml
 ->C. 600～1000 ml
   D. 1000～1500 ml
   E. 1500～2000 ml

39. 烧伤休克时，微循环的变化特点中，下列不正确的是
   A. 早期毛细血管前括约肌收缩，后括约肌开放
   B. 随着休克进展，前括约肌舒张，后括约肌收缩
   C. 伴有血流缓慢，微血栓形成
 ->D. 后阻力增加，可减少血管内液体外渗
   E. 微循环的变化得不到纠正，加剧组织的缺血、缺氧

40. 下列不属于阑尾黏液囊肿外科治疗要点的是
   A. 手术后容易复发，切除要彻底
   B. 注意隔离保护腹腔，避免发生腹腔种植等恶性行为
   C. 手术中应特别注意防护，切除时避免其破裂
   D. 术中发现囊肿破裂，要彻底清洗腹腔，注入5-Fu
 ->E. 术后全身化疗

41. 乳房的淋巴网甚为丰富，其淋巴输出的途径，下列描述错误的是
 ->A. 上部淋巴液经胸大小肌间淋巴结直达锁骨上淋巴结，流向锁骨下淋巴结，呈循环状
   B. 大部分淋巴液经胸大肌外侧缘淋巴管回流至腋窝淋巴结，再流向锁骨下淋巴结
   C. 部分乳房内侧淋巴液通过肋间淋巴管流向胸骨旁淋巴结
   D. 两侧乳房间皮下有交通淋巴管，一侧乳房的淋巴液可流向另一侧
   E. 深部淋巴网可沿腹直肌鞘和肝镰状韧带通向肝
解析：部分乳房上部淋巴液可经胸大、小肌间淋巴结直达锁骨下淋巴结，通过锁骨下淋巴结，淋巴液继续流向锁骨上淋巴结。

42. 关于肝癌放射治疗的指征，以下不符合的是
   A. 肿瘤局限，无转移，不适宜手术者
 ->B. 虽广泛转移，为减轻症状者
   C. 手术后复发者
   D. 肝功能尚好，不伴肝硬化者
   E. 无黄疸、腹水、脾功能亢进和食管静脉曲张者

43. 门静脉高压症断流术（贲门周围血管离断术）成败的关键是
   A. 冠状静脉食管支的离断
   B. 冠状静脉胃支的离断
   C. 胃后静脉和左膈下静脉的离断
 ->D. 冠状静脉高位食管支的离断
   E. 胃短静脉的离断

44. 下列对胃大部切除术后倾倒综合征的概述中，错误的是
   A. 进食出现心悸、无力、出汗、头晕、呕吐及腹泻症状
 ->B. 见于毕Ⅰ式胃大部切除术后
   C. 根据症状在术后和进食后发生的迟早，分为早期和晚期两类
   D. 手术预防措施是胃切除不可过多，吻合口不可过大，残胃适当固定
   E. 采取饮食调整疗法，手术治疗应慎重

45. 关于慢性胆囊炎的临床特点，下列错误的是
   A. 由急性演变而来或起病即是慢性过程，多合并有胆囊结石
   B. 可形成萎缩性胆囊炎
   C. 反复的右上腹或上腹隐痛、腹胀、嗳气，脂餐可诱发胆绞痛
   D. B超或胃镜检查有助诊断和鉴别诊断
 ->E. 多采取碎石或中医排石治疗

46. 发生气管损伤时，首先要处理的是
   A. 伤口局部加压
   B. 缝合伤口
 ->C. 清除呼吸道积血，保持呼吸道通畅
   D. 伤口填塞
   E. 气管插管
解析：气管损伤时因血液流入呼吸道引起窒息，故应尽快清理呼吸道，保持呼吸道通畅，而不应盲目填塞、压迫止血和缝合伤口。

47. 有关原发性甲状旁腺功能亢进的临床特点，下列选项错误的是
 ->A. 容易被临床发现和诊断
   B. 骨痛，易发生病理性骨折
   C. 泌尿道结石，肾绞痛、血尿、尿路感染
   D. 骨病与尿路结石并存
   E. 可伴消化性溃疡、神经精神症状、肌无力、肌肉疼痛及萎缩
解析：原发性甲状旁腺功能亢进在临床上极易被忽视，造成误诊。

48. 关于直肠癌的扩散与转移特点，下列选项错误的是
   A. 血行转移的概率与癌肿的恶性程度有关
   B. 很少直接种植在腹膜上
   C. 主要的扩散途径是淋巴转移
   D. 向上可沿腹主动脉周围淋巴结转移
 ->E. 癌肿浸润肠壁1周约需6个月

49. 以下对门静脉高压症上消化道出血的论述中，错误的是
   A. 门静脉压力增高，门静脉与腔静脉之间侧支循环扩张是出血的基础
 ->B. 第一次大出血后1～2年内，再出血的量少于第一次
   C. 约25%的患者可在第一次大出血时直接引起急性肝衰竭而死亡
   D. 约50%的患者有呕血或黑便史，出血量大且急
   E. 肝功能损害致凝血功能障碍，脾功能亢进使血小板减少，出血多不易自止

50. 门静脉高压症查体时，与其最一致出现的体征是
   A. 右上腹压痛
   B. 蜘蛛痣
 ->C. 腹壁静脉曲张
   D. 脾于左肋缘下触及
   E. 黄疸

51. 关于复合伤的概念，下列正确的是
   A. 机体同时受到两种以上不同性质致伤因素作用而发生的损伤
 ->B. 机体同时或相继受到两种或两种以上不同性质致伤因素作用而发生两种以上的损伤
   C. 机体受到两种致伤因素作用，而发生的一种损伤
   D. 机体受到一种致伤因素作用，而发生的多解剖部位损伤
   E. 机体受到一种致伤因素作用，造成的多种损伤

52. 肿瘤性增生区别于炎症性增生的特点是
 ->A. 增生组织不分化不成熟
   B. 血管增生
   C. 纤维组织增生
   D. 器官的实质细胞增生
   E. 炎症细胞浸润
解析：肿瘤性增生的特点为组织细胞失去正常结构，为分化不成熟的细胞，表现为异型性，故选A。

53. 关于急性结石性胆囊炎的临床表现特点，下列选项不正确的是
   A. 常在进食油腻食物后发病
   B. 右上腹剧烈绞痛，阵发性加重，向右肩背部放射
   C. 伴恶心、呕吐等消化道症状，严重者可有畏寒、发热、黄疸
 ->D. Murphy征阴性
   E. 穿孔致弥漫性腹膜炎或穿至邻近脏器 形成胆内瘘，可引起胆源性肝脓肿

54. 肛管鳞状上皮癌最主要的转移部位是
   A. 肝
 ->B. 腹股沟淋巴结
   C. 肠系膜根部淋巴结
   D. 肠系膜淋巴结
   E. 肺

55. 小儿体表面积计算与成人的不同点是
   A. 头大，躯干小
   B. 头大，四肢、躯干相似
   C. 头大，四肢小
   D. 头大，四肢、躯干小
 ->E. 头大，下肢小，躯干相似

56. 乳癌淋巴转移最常见的途径为
   A. 经深部淋巴结——肝镰状韧带
   B. 经皮下淋巴管——对侧乳房
 ->C. 经外侧淋巴结——腋窝淋巴结
   D. 经胸大肌淋巴结——锁骨下淋巴结
   E. 经肋间淋巴管——锁骨旁淋巴结
解析：记忆题。

57. 关于肝外伤并发症的治疗，下列选项不正确的是
   A. 肝脓肿在B超或CT引导下经皮肝穿 刺（PTC）置管引流
   B. 胆瘘在B超或CT引导下经皮肝穿刺 （PTC）置管引流
   C. 胆瘘通过ERCP在损伤的胆管内放置斯坦特固定膜支撑
 ->D. 外伤性肝囊肿均应施行肝叶切除术
   E. 胆道出血经皮选择性肝动脉栓塞术

58. 关于乳腺纤维瘤的临床特点，下列不正确的是’
   A. 体内雌激素水平过高，过度刺激诱发此病
   B. 多发于20～25岁女性
 ->C. 多为多发，以疼痛为主要症状
   D. 触诊为圆形或椭圆形，质地韧、光滑、边界清楚、活动度大
   E. 原则上是手术连同周围部分正常腺体一并完整切除送病理检查
解析：乳腺纤维瘤单发多见，无自觉症状，肿块可逐渐增大。

59. 关于门静脉高压症的病因与病理特点，下列错误的是
   A. 按阻力增加的部位分为肝前、肝内、肝后三型，肝内型占95%以上
   B. 按病理形态不同，肝内型又分为窦前、窦后、窦型
   C. Budd-Chiari综合征属于肝后型门静脉高压症
   D. 肝炎后肝硬化可引起肝窦、窦后阻塞性门静脉高压症
 ->E. 血吸虫病属于肝内窦后型门静脉高压症

60. 下列肛管及肛门周围的恶性肿瘤中，最常见的是
 ->A. 鳞癌
   B. 原位癌
   C. 恶性黑色素瘤
   D. 基底细胞癌
   E. 肛周Paget病

61. 下列哪项是原发性下肢静脉曲张的严重并发症
   A. 深静脉瓣膜功能不全
   B. 深静脉血栓
 ->C. 溃疡
   D. 丹毒
   E. 血栓性静脉炎
解析：原发性下肢静脉曲张病史较长者，在小腿尤其是踝部可出现皮肤营养性改变，包括皮肤萎缩、脱屑、色素沉着、皮肤和皮下组织硬结、湿疹和难愈性溃疡，有时可并发血栓性静脉炎和急性淋巴管炎。

62. 外科急腹症不需与下列妇科疾病进行鉴别诊断的是
   A. 卵巢囊肿蒂扭转
   B. 急性盆腔炎
 ->C. 慢性盆腔炎
   D. 异位妊娠或卵巢黄体破裂出血
   E. 急性化脓性输卵管炎

63. 绞窄性肠梗阻的临床表现哪一项是错误的
   A. 有腹膜刺激征
   B. 腹痛持续严重无缓解
   C. 呕吐血性或棕褐色的液体
   D. 肠鸣音极微弱或消失
 ->E. X线检查见膨胀突出的孤立性肠袢，随时间而改变位置
解析：绞窄性肠梗阻的孤立性肠袢膨胀突出且固定。

64. 下列颈部解剖的分区中，不正确的是
   A. 颈部分区包括固有颈部和项区
   B. 固有颈部以胸锁乳突肌为标志划分为颈前区、胸锁乳突肌区及颈外侧区
   C. 颈前区为两侧胸锁乳突肌前缘的部分
   D. 颈前区以舌骨为界，分为颌下颏下区和颈前正中区
 ->E. 颈外侧区为胸锁乳突肌后缘至斜方肌后缘的部分

65. 原发性肝癌的超声介入治疗是指超声引导下经皮穿刺瘤内局部的治疗，包括注射治疗和肿瘤间质毁损治疗，下列选项不属于其技术范围的是
 ->A. 经皮穿刺肝动脉介入栓塞治疗（TAE）
   B. 经皮穿刺瘤体内注射无水乙醇（PEI）
   C. 经皮穿刺瘤体内射频消融（RFA）
   D. 经皮穿刺瘤体内微波固化治疗和激光热疗
   E. 经皮穿刺瘤体内氩氦靶向治疗

66. 胰头癌最具特征的临床表现是 
   A. 腹胀、食欲缺乏、消瘦
   B. 消化道出血
   C. 腹泻或便秘
   D. 上腹疼痛、不适
 ->E. 进行性加重的黄疸

67. 门脉高压症的主要临床表现是
   A. 肝大、腹腔积液、消瘦
   B. 腹痛、乏力、贫血
   C. 疼痛、黄疸、乏力
 ->D. 脾亢、呕血、腹腔积液
   E. 肝大、脾大、发热

68. 有关肝脏外伤的特点，下列选项错误的是
   A. 分为开放性损伤和闭合性损伤
   B. 按病理性质分为肝包膜下血肿、真性肝破裂和肝中央破裂
   C. 严重肝外伤伤势重、伤型复杂、并发症多、死亡率高
   D. 腹痛、休克、腹膜刺激症状为三大临床主症
 ->E. 按AAST肝外伤分级标准，E级为严重肝外伤

69. 腹腔镜手术CO<sub>2</sub>气腹的最严重并发症是
   A. 皮下气肿
   B. 高碳酸血症和酸中毒
   C. 心律失常
 ->D. 气体栓塞
   E. 下肢静脉血栓形成

70. 急性阑尾炎最常见的并发症是
   A. 细菌性肝脓肿
 ->B. 阑尾周围脓肿
   C. 内、外瘘形成
   D. 化脓性门静脉炎
   E. 脓毒血症、感染性休克

71. 烧伤切痂主要适用于
   A. Ⅰ度烧伤
   B. 浅Ⅱ度烧伤
 ->C. Ⅲ度烧伤
   D. 深Ⅱ度烧伤
   E. 轻度烧伤

72. 导致重度烧伤真菌感染的最主要原因是
   A. 免疫功能增强
   B. 长期卧床
   C. 多次手术
 ->D. 长期大量使用广谱抗生素
   E. 静脉高营养

73. 肝外胆管癌发生率最高的部位是
   A. 左肝管
   B. 下段胆管
   C. 中段胆管
 ->D. 上段胆管
   E. 胆囊管
解析：左肝管胆管癌只是上段胆管癌的一部分，故不是最佳答案。下段胆管癌位于十二指肠上缘至十二指肠乳头，占10%～20%。中段胆管癌位于胆囊管开口至十二指肠上缘，占10%～25%；上段胆管癌又称肝门部胆管癌，位于左右肝管至胆囊管开口以上部位，占50%～70%胆囊管不属于肝外胆管。

74. 直肠内脱垂最常用的检查方法是
   A. 肛门镜检
   B. 患者蹲下做排便动作
   C. 钡灌肠造影
   D. 直肠指诊
 ->E. 排粪造影

75. 以下哪项不是胰腺癌的高危因素
   A. 慢性胰腺炎
   B. 吸烟
 ->C. 胆囊结石
   D. 糖尿病
解析：胆囊结石和胰腺癌发生无相关性。

76. 结直肠、肛管的功能检查方法中，不包括
 ->A. 内镜检查
   B. 结直肠、肛管压力测定
   C. 排粪造影
   D. 盆底肌电图检查
   E. 结肠传输试验

77. 慢性淋巴细胞性甲状腺炎与淋巴细胞性甲状腺炎的区别，下列选项不正确的是
   A. 前者限于甲状腺内，后者向周围组织蔓延、侵犯、粘连
   B. 后者淋巴细胞浸润，不形成淋巴滤泡
   C. 前者淋巴细胞浸润，形成淋巴滤泡
 ->D. 后者甲状腺扫描为“冷结节”或“凉结节”
   E. 前者无显著纤维化及玻璃样变，质硬，而后者有

78. 胆道探查取石术后，拔除T形管的指征是
   A. 术后1周，切口拆线
   B. 术后1周，引流减少
   C. 术后1周，体温正常，白细胞减少
   D. 术后2周，黄疸消退，肝功正常
 ->E. 术后2周，引流减少，造影通畅

79. 吸入性损伤的早期诊断，具有临床意义的表现是
   A. 呼吸困难
   B. 颜面部炭灰
   C. 颜面部烧伤
   D. 烦躁不安
 ->E. 声嘶及喘鸣

80. 有关颈段食管损伤的特点，下列不正确的是
   A. 涎液和食物从伤口流出，口服亚甲蓝可协助诊断
   B. 颈部疼痛、僵直，呕吐带血性的胃内容物
   C. 可导致颈部严重感染
   D. 重者发生化脓性纵隔炎
 ->E. 合并主支气管损伤可有呼吸困难

81. 烧伤患者开始浸浴的时机一般在
   A. 伤后48小时
   B. 伤后1周
 ->C. 伤后2周
   D. 伤后1个月
   E. 以上都不对

82. 胰头癌最具特征的临床表现是 
   A. 腹胀、食欲缺乏、消瘦
   B. 消化道出血
   C. 腹泻或便秘
   D. 上腹疼痛、不适
 ->E. 进行性加重的黄疸

83. 按临床分度，轻度吸入性损伤是指
   A. 伤及细支气管
 ->B. 伤及咽部以上
   C. 伤及肺泡
   D. 伤及气管以上
   E. 伤及喉部以上

84. 肝囊型包虫病的终宿主为
   A. 羊
   B. 牛
 ->C. 狗
   D. 马
   E. 人
解析：肝囊型包虫病的终末宿主是犬，而中间宿主是羊、牛、马及人。

85. 骨盆骨折合并腹膜后出血休克，经积极抢救未见好转时，可采取
   A. DSA栓塞髂外动脉
 ->B. DSA栓塞髂内动脉
   C. DSA栓塞髂总动脉
   D. 髂内DSA栓塞髂外动脉
   E. DSA栓塞骸内髂外动脉与静脉

86. 十二指肠憩室化手术已成为治疗严重胰头十二指肠损伤的一种标准术式，但其不包括
   A. 胃窦部切除、迷走神经切断
 ->B. 结扎胰头端主胰管、封闭头端腺体断端、行远端与空肠Roux-en-Y吻合术
   C. 胃空肠端侧吻合、十二指肠残端置管造瘘
   D. 十二指肠破裂缝合修补、胰头损伤局部清创及缝合修补
   E. 胆总管T管引流、腹腔内置多管引流

87. 腰椎结核伴右髂窝脓肿，检查时托马斯征（Thomas）阳性，说明
   A. 髋关节活动受限
   B. 右下肢有放射性痛
 ->C. 右侧髂腰肌受刺激
   D. 右股四头肌受刺激
   E. 臀大肌受刺激

88. 施行胆总管探查、取石、引流及胆肠内引流术是在胆总管的哪一段
   A. 十二指肠后段
   B. 胰腺段
 ->C. 十二指肠上段
   D. 十二指肠壁内段
   E. 胆总管壁内段

