1. 女性，60岁。腹痛、呕吐及肛门停止排气排便3天。查体：腹胀可见肠型，全腹有压痛。腹部X线片：肠管扩大，可见多个液平面。应选何种治疗
 ->B. 前列腺增生合并膀胱结石
   C. 前列腺增生合并膀胱感染
   D. 慢性前列腺炎
   E. 慢性尿道炎

20. 女性，45岁。发现右乳腺外上象限约5 cm×4 cm包块6个月。包块质中，边界较清楚，粗针穿刺活检诊断为乳腺肉瘤。宜采取的治疗方法是
   A. 化学治疗
   B. 放射治疗
   C. 内分泌治疗
 ->D. 单纯乳房切除术
   E. 生物治疗

21. 患者男，30岁。腹部刀刺伤2小时。剖腹探查发现肝、胃和小肠多处刺裂伤。手术首先要处理的是
   A. 小肠破裂修补术
   B. 胃破裂修补术
   C. 控制腹腔污染
   D. 纱布填塞止血
 ->E. 肝破裂修补术

22. 男性，30岁。电击伤右腕部。查体：右腕屈侧5.0 cm×5.0 cm大小创面，屈指浅肌腱外露。创面处理的方法宜采用
   A. 全厚皮片移植修复
   B. 刃厚皮片移植修复
   C. 中厚皮片移植修复
 ->D. 皮瓣移植修复
   E. 超薄皮片移植修复

23. 患者，男性，32岁，从高处坠落，左倒枕部着地，伤后即出现昏迷，左侧瞳孔3 mm，右侧瞳孔4.5 mm，对光反应消失。头颅CT示右侧额颞叶脑挫裂伤，中线向左侧移位12 mm，最佳治疗方案是
 ->A. 右侧额颞叶挫伤脑组织清除术+去骨瓣减压术
   B. 脑室穿刺外引流术
   C. 右侧颞肌下减压术
   D. 左侧颞肌下减压术
   E. 保守治疗，加强脱水

24. 女性，40岁。子宫全切术后7天，发现不自主漏尿。下列组合检查，较为合理的是
   A. 尿动力学、膀胱尿道造影、亚甲蓝试验
 ->B. 亚甲蓝试验、膀胱镜、尿路超声，必要时再行膀胱尿道造影或IVU检查
   C. 尿动力学、盆腔CT、尿路超声
   D. 膀胱镜检查、尿路超声、放射性核素肾图
   E. 尿动力学、盆腔MRI

25. 女性，37岁。因右上腹痛、寒战、高热，呕血约200 ml来院急诊。查体：皮肤巩膜黄染，肝肋下1 cm。触痛明显，Murphy征（+）。最可能的诊断是
   A. 胃息肉出血
   B. 胃癌出血
 ->C. 胆道出血
   D. 食管静脉曲张破裂大出血
   E. 十二指肠溃疡出血

26. 男性，53岁。患皮质醇症住院。该患者在活动时应特别注意防止因骨质疏松而引起的
   A. 肌萎缩
 ->B. 病理性骨折
   C. 局部皮肤紫纹
   D. 四肢无力
   E. 性腺功能紊乱

27. 女性，36岁。发现左乳包块3个月，近期增大明显。查体：左乳外上象限可扪及3 cm×3 cm肿块，质硬，活动差，左腋下未扪及肿大淋巴结。行乳腺细针穿刺活检，病理报告为坏死组织。下一步应采取
   A. 用细针再穿刺活检
   B. 密切观察一段时间
   C. 切取部分肿块组织做活检
 ->D. 完整切除肿物及其周围组织活检
   E. 钼靶X线摄片

28. 男性，51岁。肝硬化病史10余年，5天前曾有上呼吸道感染，近2日感上腹部痛，为全腹痛，伴恶心、呕吐，大便次数增多，伴里急后重，发热，体温38.5℃～39℃。查体：腹膨隆，全腹压痛，反跳痛，伴腹肌紧张，肠鸣音稍弱。化验：WBC18×10<sup>9</sup>/L，N：96%，大便RT（-）。腹腔穿刺抽出稀薄、无味脓性液，革兰染色为阳性球菌，诊断应考虑
   A. 上消化道穿孔
   B. 急性阑尾炎穿孔
 ->C. 原发性腹膜炎
   D. 继发性腹膜炎
   E. 肠间隙感染

29. 女性，49岁。排便时无痛便血，并有肿物脱出，便后自行还纳，经检查后诊为Ⅱ期内痔，选用注射疗法，注入是何药
 ->A. 5%鱼肝油酸钠
   B. 2%鱼肝油酸钠
   C. 0.5%碳酸甘油
   D. 1%碳酸甘油
   E. 2%碳酸甘油

30. 男性，28岁，体重估计75kg。车祸伤致脾破裂。急诊剖腹探查见腹腔内积血量达1500 ml，用升压药维持血压在80/60 mmHg此时应首先选择成分血输注中的
   A. 少浆血
   B. 普通冰冻血浆
   C. 冰冻红细胞
 ->D. 红细胞悬液
   E. 新鲜冰冻血浆

31. 男性，64岁。头痛、呕吐3个月，1天前癫痫发作1次，发作后左侧肢体瘫痪，12小时后肌力恢复。既往体健。查体：神清，记忆力减退。双眼底视乳头水肿，左侧偏身感觉障碍，左下肢病理征阳性。MRI检查：见右顶有一形态不规则混杂信号境界不清病灶，周围脑组织水肿明显。增强扫描：肿瘤呈不均匀强化。诊断应首先考虑
   A. 转移瘤
   B. 低级别胶质瘤
 ->C. 高级别胶质瘤
   D. 脑脓肿
   E. 恶性淋巴瘤

32. 患者男，34岁。因甲状腺Ⅱ度肿大行手术治疗。术中冷冻病理报告为：慢性淋巴细胞性甲状腺炎。此时，应给予的处理是
   A. 行双侧甲状腺次全切除术
   B. 行双侧甲状腺部分切除术
   C. 停止手术，缝合伤口
 ->D. 停止手术，缝合伤口，术后给予甲状腺素药物治疗
   E. 停止手术，缝合伤口，术后给予抗甲状腺药物治疗

33. 患者女，43岁。临床诊断甲状腺功能亢进，经充分术前准备后，施行甲状腺次全切除术。术后第2天患者突然出现面部及四肢抽搐。应立即做出的处理措施是
   A. 静脉滴注地塞米松
   B. 口服抗甲状腺药物
   C. 肌内注射地西泮
   D. 口服甲状腺素片
 ->E. 静脉推注10%葡萄糖酸钙
解析：甲亢手术中误伤甲状旁腺使术后出现血钙浓度下降，神经肌肉应激性增强，而出现手足抽搐，因此，应给予钙制剂以提高血钙浓度，缓解症状。

34. 男性，30岁。面部皮肤直径1 cm的褐色肿物，并有数根毛发生长。最可能的诊断是
   A. 交界痣
 ->B. 皮内痣
   C. 混合痣
   D. 皮脂腺痣
   E. 鲜红斑痣

35. 男性，63岁。无痛进行性黄疸1个月，体重减轻。查体：巩膜黄染，血清总胆红素为70 μmol/L，Courvoisier征阳性。对此患者首先考虑诊断为
 ->A. 下段胆管癌
   B. 胆囊癌
   C. 肝门部胆管癌
   D. 胆囊结石
   E. 胆总管结石

36. 患者男，26岁。突然上腹剧痛，不能直腰1小时就诊。查体：P 100次/分，BP 110/80 mmHg。急性痛苦面容。全腹压痛、反跳痛和肌紧张明显，以剑突下为甚，肝浊音界于右锁骨中线第5肋间消失，肠鸣音减弱。血常规检查：WBC 10.6×10<sup>9</sup>/L，N 86%，Hb 91 g/L。血、尿淀粉酶正常。对诊断有意义而又简单的检查方法首选
   A. 腹部CT
 ->B. 立位腹部X线平片
   C. 腹部B超
   D. 腹腔灌洗
   E. 腹部MRI
解析：突发上腹痛，弥漫性腹膜炎，肝浊音界缩小，应考虑上消化道穿孔的可能性大。血、尿淀粉酶正常，基本除外胰腺炎。腹部B超和CT对诊断胰腺炎和胆囊炎价值较大。腹腔灌洗只能帮助腹膜炎的诊断，不能做出病因诊断。腹部CT检查目前认为其比X线在诊断方面更具优势，但费用相对较高。因此，简单易行的选择是立位腹部X线平片。

37. 女，57岁，腹胀痛两天，恶心呕吐，肛门停止排气，体检：左侧卵圆窝突起半球形包块，不可推动，腹部立位片：腹腔胀气，有数个液平，诊断是
 ->A. 绞窄性股疝
   B. 粘连性肠梗阻
   C. 绞窄性直疝
   D. 肠扭转
   E. 肠套叠

38. 患者，女性，38岁。查：BP160/95 mmHg。Hb80 g/L，尿蛋白（+），颗粒管型2～3个/HP，BUN10 mmol/L，Cr220 μmol/L。对该患者不宜采取
   A. 低蛋白饮食
 ->B. 高蛋白饮食
   C. 低钠饮食
   D. 根据尿量多少适当限水
   E. 低磷饮食

39. 女性，18岁。1年来先后两次上呼吸道感染后次日出现肉眼血尿、腰痛，无浮肿及膀胱刺激征。血压120/80 mmHg。尿蛋白（+），沉渣红细胞满视野和白细胞3～4个/高倍视野，红细胞形态检查为混合型。最可能的诊断是
   A. 急性链球菌感染后肾小球肾炎
   B. 急性泌尿系感染
 ->C. IgA肾病
   D. 系统性红斑狼疮肾炎
   E. 紫癜肾炎

40. 男性，52岁。施行直肠癌根治术时发生骶前静脉丛大出血，持续低血压状态1小时。术后继续液体复苏，第2天患者病情平稳，血压110/60 mmHg，CVP4 cmH<sub>2</sub>O。CVP监测情况提示
   A. 静脉血管张力较高
 ->B. 静脉回心血量不足
   C. 动脉血管张力增高
   D. 右心功能不全
   E. 胸腔内压力增高

41. 男性，60岁。突发头痛、恶心、呕吐，伴左侧肢体活动欠灵活2周。1年前曾行右肺上叶恶性肿瘤切除术。根据患者病史、体征，诊断首先要考虑
   A. 缺血性脑血管病
 ->B. 肺癌脑转移
   C. 高血压危象
   D. 慢性硬膜下血肿
   E. 胶质细胞瘤

42. 男性，42岁。因胆囊结石行胆囊切除术，术毕小网膜孔（Winslow孔）附近放置一引流管，术后第二天引流出胆汁样液体300 ml。其可能的原因是
   A. 胆囊管残端结扎松脱
   B. 医源性损伤胆管
   C. 副肝管被切断
   D. 胆总管下端乳头部狭窄
 ->E. 以上都是

43. 女性，30岁。甲状腺次全切除术后，进食和饮水时出现呛咳，无声音嘶哑。患者出现的手术并发症是
   A. 喉返神经损伤
   B. 交感神经损伤
   C. 气管损伤
   D. 食管损伤
 ->E. 喉上神经损伤

44. 患者男，40岁。突然呕血300 ml，色暗红，伴黑便两次。查体：蜘蛛痣（+），肝右肋缘下l cm，质硬，脾左肋缘下3 cm，移动性池音阳性。根据患者情况，应用药物首选的是
   A. 口服胃黏膜保护剂
   B. 给予成分输血
   C. 静脉注射维生素K<sub>3</sub>
   D. 静脉注射酚磺乙胺（止血敏）
 ->E. 静脉滴注垂体后叶素

45. 男性，36岁。腰痛2年。半个月前B超检查发现右肾结石3.0 cm，右肾中度积水。5天前感冒后右腰痛加重，伴高热、尿频、尿痛。查体：体温38.5℃。右肾区叩痛明显。尿检红细胞满视野。肾图检查：右肾功能严重受损，左侧正常。B超检查：右肾中度积水，肾盂内透声不好疑感染，右肾穿刺抽出脓性液。此时的治疗措施应采取
 ->A. 右肾切除
   B. 右肾造瘘
   C. 右肾切开取石
   D. 继续消炎治疗
   E. 体外冲击波碎石

46. 男性，35岁。近半年来出现尿频、尿不尽，肛周隐痛不适。拟诊为慢性前列腺炎。下列检查结果中，具有诊断意义的是
   A. 尿常规，WBC2～4个/HP
   B. B超检查：前列腺被膜增厚
 ->C. 前列腺液常规：WBC20～30个/HP，卵磷脂小体减少
   D. 前列腺液培养：阴性
   E. 直肠指诊可及前列腺增大

47. 患者男，64岁，无痛性进行性黄疸1个月，体重减轻。查体：巩膜黄染，血清总胆红素为70 μmol/L，Courvoisier征阳性，此病人首先考虑诊断为
 ->A. 下段胆管癌
   B. 胆囊癌
   C. 肝门部胆管癌
   D. 胆囊结石
   E. 胆总管结石

48. 女性，30岁。诊断为甲亢。清晨测得脉率96次/分，血压17.3/9.3kPa（130/70 mmHg）。计算基础代谢率是属于
   A. 正常
   B. 正常范围偏高
   C. 重度甲亢
 ->D. 中度甲亢
   E. 轻度甲亢

49. 男性，58岁，上腹部隐胀不适3个月，加重伴呕吐宿食半月余入院。体检于上腹部扪及约4 cm～3 cm包块，质地较硬，尚可推动。该病人最可能的诊断是
   A. 胃溃疡
   B. 十二指肠溃疡伴幽门梗阻
   C. 胰腺癌
 ->D. 胃窦癌
   E. 萎缩性胃炎

50. 女性，26岁。肥胖、头痛伴闭经1年半。查体：BP180/110 mmHg，向心性肥胖，满月脸，皮肤薄，有痤疮，腹壁有宽大紫纹，下肢胫前可凹性水肿。为明确库欣综合征，拟检查
   A. 血浆皮质醇
   B. 尿游离皮质醇
   C. 血皮质醇昼夜节律
 ->D. 小剂量地塞米松抑制试验
   E. 大剂量地塞米松抑制试验

51. 患者男，26岁，身高1.6 m。烧伤面积为80%，50%深Ⅱ度、30%Ⅲ度。估算该患者伤后每天需要的热量约为
   A. 2000kcal
   B. 2500kcal
   C. 3000kcal
 ->D. 3500kcal
   E. 4500kcal

52. 女性，48岁，大便带血3个月，排便有下坠感，里急后重，直肠镜检查距肛门12 cm处3 cm×3 cm肿块，菜花状，质脆，易出血，病理诊断为直肠腺癌。若选择手术，最佳术式为
   A. 经腹会阴直肠癌根治术
 ->B. 经腹直肠癌切除术
   C. 经腹直肠癌切除、人工肛门、远端封闭手术
   D. 拉下式直肠癌切除术
   E. 局部切除加放疗术

53. 患者男，38岁。右下肢近腘窝处被刀刺伤1周。现出现搏动性肿块，逐渐增大伴右下肢麻木。查体：右下肢苍白，腘窝部搏动性肿块大小为5 cm×４cm，附近有收缩期杂音。首先考虑的诊断是
   A. 动静脉瘘
   B. 腘动脉周围血肿
   C. 腘动脉分支出血
 ->D. 腘动脉假性动脉瘤
   E. 腘动脉真性动脉瘤

54. 患儿女，5岁。腹部外伤，手术探查发现脾下极有一3 cm裂伤，深1.0 cm。手术方式宜采取
   A. 脾下极切除术
   B. 脾切除术
 ->C. 脾修补术
   D. 脾动脉结扎术
   E. 明胶海绵充填术
解析：小儿脾损伤，应尽量保留脾脏，对患儿的免疫功能有利。病例中脾下极裂伤，可行脾修补术。

55. 男性，40岁。左颞部棒击伤5小时。伤后有短暂昏迷，1小时前再昏迷，左瞳孔散大，右侧偏瘫，病理征阳性。最可能的诊断是
   A. 急性硬膜下血肿伴脑疝
 ->B. 急性硬膜外血肿伴脑疝
   C. 脑挫裂伤伴脑疝
   D. 原发脑干损伤
   E. 脑损伤伴脑疝

56. 男性，18岁，双下肢水肿15个月，7个月前尿常规蛋白阳性，24小时尿蛋白定量4.3 g，血浆白蛋白23 g/L，血肌酐82 μmol/L，肾穿刺病理诊断为肾小球微小病变，现尿常规蛋白仍阳性，24小时尿蛋白定量6.2 g，血浆白蛋白17 g/L，血肌酐257 μmol/L，肾脏病理可能转型为
   A. 毛细血管内增生性肾小球肾炎
   B. 轻度系膜增生性肾小球肾炎
   C. 系膜毛细血管性肾小球肾炎
 ->D. 局灶节段性肾小球硬化
   E. 新月体性肾小球肾炎

57. 男性，20岁。原发性肾病综合征患者，首次治疗，每日用泼尼松60 mg，3周后尿蛋白仍为（++++），此时应
   A. 改用地塞米松
 ->B. 将泼尼松加量到80 mg/d
   C. 改用环磷酰胺
   D. 用原量继续观察
   E. 减少泼尼松量到40 mg/d，加用免疫抑制剂

58. 女性，27岁。诊断为右肾下垂。静脉肾盂造影提示：右肾重度积水，分泌功能减退。正确的治疗方案是
   A. 药物治疗
   B. 切除右肾
 ->C. 手术治疗纠正右肾下垂
   D. 右侧输尿管内留置支架
   E. 以上都不是

59. 女性，28岁。单纯性下肢浅静脉曲张4年，妊娠5个月。既往患有先天性心脏病。一般情况较差。根据患者情况，处理宜采取
 ->A. 穿弹力袜压迫
   B. 大隐静脉高位结扎，剥脱主干，结扎交通支
   C. 硬化剂注射和压迫治疗
   D. 暂不作处理
   E. 嘱患者避免久站、久坐

60. 男性，3岁。沸水烫伤双上肢2小时入院。临床诊断烫伤面积16%。浅Ⅱ度。该患儿烫伤的严重程度属于
   A. 轻度
   B. 中度
 ->C. 重度
   D. 特重度
   E. 极重度

61. 男性，62岁。排尿困难6年，不能排尿1天就诊。查体：下腹部可扪及囊性包块，直肠指诊前列腺Ⅱ度大，质地韧，表面光滑，中央沟消失。血PSA2.2ng/ml，Cr267 μmol/L。最可能的诊断是
   A. 前列腺癌
 ->B. 前列腺增生
   C. 前列腺肉瘤
   D. 前列腺炎
   E. 以上都不是

62. 患儿男，6岁。在家中不慎将暖水瓶打碎而致双下肢烫伤，现场急救正确的方法是
 ->A. 立即脱掉浸有热水的衣裤，用凉毛巾湿敷创面，送医院
   B. 立即拨打急救中心电话，等待送往医院
   C. 立即用毛毯包裹双下肢，等待急救人员
   D. 立即用自来水冲洗降温
   E. 立即送往医院

63. 女性，31岁。间断肉眼血尿1年。查体：右下腹扪及一包块，无压痛。B超检查：双肾大小、形态正常，膀胱未见异常。CT检查：双侧肾脏未见肿块。静脉肾盂造影和腹部X线平片显示右肾立位比卧位下降一个椎体。最可能的诊断是
   A. 右肾肿瘤
   B. 膀胱癌
   C. 膀胱炎
 ->D. 右肾下垂
   E. 子宫内膜异位症

64. 患者进行预存式自体输血的标准是
   A. 血红蛋白大于105 g/L，血细胞比容不低于31%
   B. 血红蛋白大于115 g/L，血细胞比容不低于36%
   C. 血红蛋白大于100 g/L，血细胞比容不低于3%
 ->D. 血红蛋白大于110 g/L，血细胞比容大于33%
   E. 血红蛋白大于108 g/L，血细胞比容不低于32%

65. 男性，42岁。前胸部被撞伤，X线检查可见左第9、10肋骨骨折。2天后突发休克，最可能的原因是
   A. 胃破裂
   B. 肝破裂
 ->C. 脾破裂
   D. 气胸
   E. 结肠破裂

66. 男性，30岁。无明显诱因突发呕血6小时，暗红色，量约400 ml，既往无肝炎病史。查体：生命体征平稳，血红蛋白10 g/dl，上腹部轻压痛，最有助于诊断的急诊检查方法为
   A. 腹部B超
   B. 血管造影
   C. 上消化道造影
 ->D. 胃镜
   E. 腹部CT

67. 患者男，42岁。因门静脉高压症食管胃底静脉曲张破裂出血行脾切除、贲门周围血管离断术后1年。解柏油样黑便2天，3次/天，每次量约200 g。查体：BP 90/60 mmHg。Hb 80 g/L。根据患者情况，首先要做的检查是
   A. B超检查
 ->B. 胃镜检查
   C. 胃肠X线钡餐检查
   D. 选择性动脉造影检查
   E. 经皮肝穿刺门静脉造影

68. 男性，28岁。腹部挤压伤后6小时。查体：体温38.2℃，脉率88次/分，血压110/80 mmHg，腹部有压痛，无反跳痛，肠鸣音可闻及，以下处理措施中最不合理的是
   A. 腹部B超检查
   B. 腹部穿刺检查
   C. 密切观察腹部体征及生命体征变化
   D. 禁食及输液治疗
 ->E. 尽快剖腹探查，以防延误治疗

69. 患者，女性，48岁。尿频、尿急、尿痛伴尿后滴血4天。尿常规示镜下有许多红、白细胞。选择做下列哪项检查是不正确的
   A. 尿细胞学培养
   B. 尿培养加药敏
   C. 泌尿系B超检查
 ->D. 膀胱镜检查
   E. IVP
解析：尿道、膀胱处于急性炎症期不宜进行检查，因可导致炎症扩散，而且膀胱的急性炎症充血，还可使病变分辨不清。

70. 男性，32岁，2周前咽痛、咳嗽，1周来浮肿、尿少、乏力。化验血红蛋白90 g/L，尿蛋白（+++），沉渣红细胞10～15个/HP，血肌酐500 μmol/L，血尿素23 mmol/L，B超示双肾增大。其诊断可能是
   A. 急性肾小球肾炎
 ->B. 急进性肾小球肾炎
   C. IgA肾病
   D. 慢性肾小球肾炎
   E. 肾病综合征

71. 女性，47岁。既往无胃病史。半年来自觉乏力，食欲减退，间断出现黑便，无呕血，体重下降约8kg。查体：上腹部膨隆，轻压痛，肝脾未触及，移动性浊音（-），大便潜血（+）。此患者首先应考虑的诊断为
   A. 胃癌
 ->B. 食管静脉曲张破裂出血
   C. 应激性溃疡出血
   D. 慢性萎缩性胃炎
   E. 消化性溃疡出血

72. 女性，60岁。近日感冒后尿色变深，伴左侧腰痛、尿频。曾服“去痛片”2片，血压150/90 mmHg，双肾区无叩击痛，无浮肿。下列哪项检查应首选
   A. 泌尿系统B超
   B. 腹部平片
   C. 中段尿细菌培养
 ->D. 尿常规及沉渣镜检
   E. 静脉肾盂造影

73. 男性，28岁。腹部刀伤2小时。剖腹探查发现肝部分破裂，胃、肠破裂，横结肠破裂，膀胱破裂，首先应行
   A. 小肠破裂修补术
   B. 胃破裂修补术
   C. 横结肠造瘘术
   D. 膀胱破裂修补术
 ->E. 肝破裂修补术

74. 男性，60岁。诊断为原发性肝癌，行肝叶切除术后3天，出现嗜睡、烦躁不安、黄疸、少尿等，应考虑
   A. 胆汁性腹膜炎
   B. 膈下脓肿
 ->C. 肝性脑病
   D. 内出血
   E. 休克

75. 男性，20岁，右大腿刀刺伤18小时，刀口处红肿，有渗出液，目前最适当的治疗措施是
   A. 清创缝合
   B. 抗生素治疗
   C. 理疗
 ->D. 清理伤口后换药
   E. 局部固定

76. 女性，23岁。主诉因心慌伴乏力、消瘦就诊。查：心率126次/分，血压125/60 mmHg，双手细颤，双眼稍突，颈部明显增粗，双甲状腺Ⅲ度肿大，光滑，未及结节，活动，听诊有血管杂音，明确诊断可选以下哪项检查
   A. 颈部CT
   B. 颈部平片
 ->C. 双甲状腺核素扫描
   D. 颈部多普勒超声
   E. 选择性血管造影

77. 患者男，59岁。反复左上腹持续性隐痛伴腹胀、消瘦、脂肪泻4年，每次发作腹痛时有加剧，并向腰背部放射，呈束腰带状。既往有长期饮酒史。查体：皮肤巩膜无黄染。实验室检查：尿淀粉酶450 U/L，空腹血糖11.5 mmol/L。诊断首先考虑
   A. 胃溃疡
   B. 慢性结肠炎
 ->C. 慢性胰腺炎
   D. 胰头癌
   E. 十二指肠溃疡

78. 患者排出乳白色或米汤样尿液，加入乙醚后可使混浊尿液变清，可能是
   A. 脓尿
 ->B. 乳糜尿
   C. 晶体尿
   D. 血尿
   E. 气尿

79. 女性，39岁。慢性肝病10年，肝区持续性钝痛3月，突发右上腹剧痛4小时，查体：心率100次/分，血压160/80 mmHg，皮肤、巩膜无黄染，肝肋下1 cm，右中上腹压痛，伴轻度肌紧张，腹穿抽出血性液体，最可能的诊断是
   A. 脾破裂
   B. 十二指肠溃疡穿孔
 ->C. 肝癌破裂出血
   D. 急性出血坏死性胰腺炎
   E. 肠系膜上动脉栓塞

80. 男性，35岁。右侧阴囊内轻度胀痛4年。查体：右附睾尾部触及一1.5 cm×1.0 cm×1.0 cm硬结，无压痛，同侧输精管粗硬。诊断应首先考虑
   A. 附睾炎
 ->B. 附睾结核
   C. 附睾肿瘤
   D. 附睾囊肿
   E. 附睾肉芽肿

