1. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
解析：妊娠合并尖锐湿疣终止妊娠的指征主要是产科指征而不能因为很低的新生儿喉乳头瘤发病率而决定，另外剖宫产也不能防止胎儿宫内感染。对外阴阴道湿疣应在34周前积极治疗，以免影响会阴伤口的愈合。

11. 女性，45岁。白带多，性交后出血已3个月，检查宫颈呈糜粒状外观，接触性出血，为明确诊断采用何种检查最适宜
   A. 宫颈涂片细胞检查
 ->B. 宫颈多点活检
   C. 阴道镜检查
   D. 宫颈锥切检查
   E. 宫颈上皮的碘油染色

12. 17岁女性，月经来潮3年，月经量正常，色红、伴少量血块，近2年出现经期腹痛，呈下腹部痉挛性疼痛，伴头晕、恶心、腹泻、腰酸，经后疼痛缓解。查体：腹平软，无压痛、反跳痛，Murphy′s征阴性，未触及包块，无移动性浊音，肠鸣音正常。盆腹腔B超：未见明显异常。临床诊断最可能是
   A. 阑尾炎
   B. 慢性肠炎
 ->C. 原发性痛经
   D. 子宫内膜异位症
   E. 盆腔炎

13. 女性，23岁，月经期下腹剧痛8年。查体：子宫正常大小，双附件无异常。初步诊断为原发性痛经。该患者已婚，暂无生育计划。最佳治疗方法是
   A. 经期服用氟芬那酸
   B. 经期服用布洛芬
   C. 雌孕激素序贯疗法
 ->D. 口服避孕药
   E. 单用孕激素

14. 女性，60岁，阴道分泌物增多，伴外阴及阴道烧灼感，偶伴瘙痒1周，阴道分泌物检查见大量基底细胞及白细胞，未见假丝酵母菌及滴虫，治疗正确是
   A. 咪康唑栓剂每晚阴道填塞
 ->B. 雌激素软膏局部涂抹
   C. 克霉唑栓每晚阴道填塞
   D. 1%龙胆紫涂擦阴道
   E. 小苏打液阴道灌洗

15. 患者52岁，绝经2年，出现潮热，出汗，睡眠不好，不希望来月经，可以采用何种激素治疗方案
 ->A. 连续联合方案
   B. 周期序贯方案
   C. 单用孕激素治疗
   D. 单用雌激素治疗
   E. 中药治疗

16. 46岁重度卵巢内异症患者无生育要求者，最适合的治疗方式是
   A. 病灶完全切除
 ->B. 病灶+子宫+双侧附件切除
   C. 病灶+子宫+一侧附件切除
   D. 假孕疗法
   E. 假绝经疗法
解析：内异症的根治性手术包括卵巢去势（双侧切除）手术和全子宫、双附件切除术。手术后仍有约5%的复发率。

17. 女，32岁，初产妇，定期参加孕期产检，属于三级预防策略的哪一种
   A. 一级预防策略
 ->B. 二级预防策略
   C. 三级预防策略
   D. 四级预防策略
   E. 不属于预防策略
解析：产检属于二级预防。

18. 第1胎，孕36周，发现血压升高3周，今晨突然腹痛，诉为持续性，阵发加重，血压150/98 mmHg，心率112次/分，尿蛋白（++），阴道有少量出血。此时最有可能的诊断是
   A. 先兆早产
 ->B. 胎盘早剥
   C. 先兆子宫破裂
   D. 前置胎盘
   E. 子宫肌瘤红色变性
解析：子痫前期易致胎盘早剥。

19. 女性，38岁，已婚未孕，经期腹痛4月余，呈进行性加重。妇科检查：宫颈糜烂Ⅰ度，子宫正常大小，后倾，活动欠佳，附件增厚、压痛，子宫骶骨韧带处可扪及触痛性结节，最可能的诊断是
   A. 盆腔结核
   B. 宫颈癌
   C. 慢性盆腔炎
 ->D. 子宫内膜异位症
   E. 子宫肌瘤

20. 女性，30岁，查体发现子宫颈肥大，行宫颈细胞学检查未见异常。其治疗正确的是
   A. 子宫颈锥切
   B. 子宫颈切除
   C. 预防性应用抗生素
   D. 微波治疗
 ->E. 定期随访

21. 初产妇，32岁，孕34周，重度胎盘早剥，行剖宫产术时见子宫表面有紫色瘀斑，尤其胎盘附着处更为显著，子宫出血仍多，此时处理哪项不正确
   A. 按摩、热敷子宫
   B. 子宫肌壁内注射缩宫素
   C. 经积极处理子宫仍不收缩应考虑切除子宫
 ->D. 出现血液不凝时，不宜行子宫切除术，增加创面
   E. 配血、、输血
解析：子宫胎盘卒中，必要时应行子宫切除术挽救生命。

22. 女性，21岁，停经68天，超声提示宫内早孕，行负压吸引术过程中，发现宫颈3点处裂伤1 cm，有活动性出血。以下处理正确的是
   A. 输注止血药如氨甲环酸
   B. 阴道内填塞纱布压迫
 ->C. 采用可吸收线缝合修补
   D. 裂口处放置云南白药粉
   E. 电凝止血

23. 经产妇，24岁，39周妊娠，主诉宫缩痛，阴道流血，色黑，混有黏液。下列关于阴道流血原因，最可能的是
   A. 前置胎盘
   B. 胎盘早剥
 ->C. 见红
   D. 血管前置
   E. 子宫颈裂伤
解析：见红或宫颈黏液栓的脱落是即将临产的标志，血液中混有黏液可以区分见红与产前出血。

24. 女孩，14岁，因未初潮，B超检查发现左侧卵巢囊实性肿块，内见强回声伴明显的声影，考虑的诊断是
   A. 原发性闭经
   B. 卵巢浆液性囊腺瘤
 ->C. 卵巢成熟畸胎瘤
   D. 月经延迟
   E. 卵巢卵泡膜细胞瘤

25. 女性，34岁，停经9周，B超提示宫内妊娠，恶心、呕吐1周，诊断为妊娠剧吐，予对症支持及补液治疗，近2天来体温波动在38℃～39℃，休息时心率>120次/分，应采取的措施是
 ->A. 终止妊娠
   B. 抗生素治疗
   C. 止吐镇静
   D. 物理降温
   E. 补液治疗

26. 34周妊娠女性，出现心功能异常的有关症状不包括以下哪项
   A. 劳力性呼吸困难
   B. 经常性夜间端坐呼吸
 ->C. 肩背部放射性疼痛
   D. 咯血
   E. 经常性胸闷、胸痛
解析：肩背部放射痛为冠心病心绞痛的表现。

27. 已婚妇女停经56天，阴道中等量流血伴阵发性下腹痛2天，无发热，查体子宫稍大，见胚胎组织堵塞宫口，本例恰当处理是
   A. 测血hCG值
   B. 肌注黄体酮保胎
   C. 立即输液输血
   D. 急查凝血功能
 ->E. 立即行清宫术
解析：根据病史、症状及查体本例应诊为难免流产，应尽早排出妊娠物。

28. 中年女性患者，因自身免疫性疾病长期服用糖皮质激素，近一周外阴瘙痒、灼痛，白带增多，查体发现外阴阴道黏膜充血，阴道内较多豆渣样分泌物，分泌物镜检查见菌丝及芽孢，下列处理正确的是
   A. 氟康唑150 mg，顿服
   B. 曲康唑0.2 g，每日1次，连服3天
 ->C. 硝酸咪康唑400 mg，每日1次，连用7天
   D. 硝酸咪康唑200 mg，每日1次，连用7天
   E. 克霉唑150 mg，每日1次，连用7天

29. 患者女性，10岁，尚未行经。5天前无明显诱因出现发热，体温最高38.5℃，伴间断腹胀。查体扪及下腹包块，超声：子宫左侧不均质低回声团，大小约7.2 cm×6.7 cm，血供丰富。盆腔CT：盆腔巨大占位，大小约80 mm×62 mm。子宫体积较小，被挤压至右上方，子宫与肿瘤边缘模糊不清，盆腔内未见明显增大淋巴结。查AFP：1800 ng/ml，CEA：13 ng/ml，CA199：21 ng/ml，CA125：20 ng/ml，HCG：0.1 U/L。上述病例最重要的肿瘤标记物可能是
   A. CA125
 ->B. AFP
   C. CEA
   D. CA199
   E. SCC

30. 患者43岁，浸润性催乳素瘤，药物治疗无效，两次经鼻经蝶手术，术后再次复发，目前建议采用何种治疗手段
   A. 化疗
   B. 开颅手术
 ->C. 放射治疗
   D. 姑息治疗
   E. 服用大剂量溴隐亭

31. 患者妊娠12周，饱餐后出现右上腹绞痛，恶心，呕吐伴有下浮阵痛，无阴道流血流液。既往有胆结石病史4年，偶有发作，能自行缓解。该患者最可能的诊断是
   A. 妊娠合并急性阑尾炎
   B. 先兆流产
 ->C. 妊娠合并急性胆囊炎
   D. 妊娠合并急性胰腺炎
   E. 妊娠合并右输尿管结石

32. 已婚女性，停经56天，恶心、呕吐、不能进食8天，查体心率130次/分，血压80/40 mmHg，皮肤黏膜干燥，面色苍白，治疗4天症状无缓解，嗜睡，此时最恰当的处理是
 ->A. 终止妊娠
   B. 鼓励正常进食
   C. 肌注黄体酮保胎
   D. 应用多巴胺升压
   E. 静脉补充氨基酸及脂肪乳
解析：如果病情无好转，体温持续超过38℃，脉搏超过120次/分，持续黄疸或蛋白尿，伴发Wernicke脑病，应考虑终止妊娠。

33. 女性，32岁，产后4个月，突然出现抽搐，CT检查证实为颅内占位，手术后病理为绒癌脑转移，为进一步治疗，鞘内注射化疗药应首选
   A. 5-FU
 ->B. MTX
   C. KSM
   D. CTX
   E. VCR
解析：甲氨蝶呤为作用于细胞周期（S期）的特异性药物，可用于鞘内注射治疗中枢神经系统转移癌。

34. 女性不孕最常见的因素为
   A. 排卵障碍
 ->B. 输卵管因素
   C. 子宫因素
   D. 宫颈因素
   E. 阴道因素

35. 患者停经近7周时诊断为早孕，人工流产术失败，继续妊娠至16周时，患者突然出现剧烈下腹部疼痛，伴心悸头晕，四肢湿冷，面色苍白，移动性浊音（+），最可能的诊断是
   A. 输卵管妊娠破裂
 ->B. 残角子宫妊娠破裂
   C. 胎盘早剥
   D. 瘢痕子宫破裂
   E. 妊娠黄体破裂

36. 女性，42岁，宫颈TCT两次为LSIL，阴道镜下多点活检阴性，为了进一步确诊应首先选择
   A. 定期追踪观察
   B. 宫颈锥切术
   C. 子宫全切术
 ->D. 诊刮宫颈管
   E. HPV检测

37. 新婚妇女，停经46天后出现阴道少量流血伴右下腹痛，今晨突然右下腹剧烈疼痛，难以忍受，来院就诊。查体：患者面色苍白，口唇色淡，腹部稍膨隆，右下腹压痛明显。即刻测血压 80/60 mmHg，妇科检查：子宫稍大，较软，右附件区触及一压痛之包块，阴道后穹隆穿刺得到不凝血，本例可能为
 ->A. 输卵管妊娠流产或破裂（非间质部）
   B. 输卵管间质部妊娠破裂
   C. 急性阑尾炎
   D. 黄体破裂
   E. 急性输卵管炎

38. 女性，30岁，因卵巢“囊腺瘤”手术治疗，术中诊断为“卵巢透明细胞癌ⅠA”。G<sub>2</sub>P<sub>1</sub>A1L1，再婚有生育要求。手术原则是
 ->A. 分期手术
   B. 附件切除术
   C. 肿瘤剥除术
   D. 患侧附件切除+对侧卵巢活检
   E. 患侧附件切除+可以病灶活检

39. 32岁初产妇，孕7周时超声提示“一个孕囊，内见两个胚芽”，孕19周外院诊断羊水过多由乡镇医院转入，查体：子宫张力高，宫底达36 cm，孕妇不能平卧，两胎儿胎心好。以下那项超声指标对TTTS（双胎输血综合征）诊断最有价值
   A. 两个胎儿体重相差较大
   B. 其中一个胎儿脐血流出现异常
 ->C. 一胎儿羊水过多，另一胎儿羊水过少，呈“贴附儿”
   D. 两胎儿之间未见羊膜分隔
   E. 一胎儿出现严重水肿（胸腹腔积液）

40. 初产妇，28岁，妊娠40周临产，胎心率140次/分，产程进展顺利，胎位LOA，宫口开达6 cm，胎头平坐骨棘，CST提示变异减速，最低胎心率80次/分，持续45 s，羊水粪染，下列诊断首先考虑
   A. 子宫破裂
   B. 胎盘早剥
 ->C. 急性胎儿窘迫
   D. 慢性胎儿窘迫
   E. 羊水栓塞

41. 女性，50岁。阴道镜检宫颈取材病理所见为异型上皮达到上皮全层，采取哪种治疗最合适
   A. 激光治疗
   B. 电熨治疗
   C. 冷冻治疗
   D. 宫颈锥形切除
 ->E. 全子宫切除术

42. 26岁女性，1年前查体发现左卵巢囊肿。今晨起突发左下腹痛，伴恶心、呕吐。妇科检查：扪及左下腹肿物，有压痛，蒂部明显，首选处理
   A. 密切观察
   B. 查CA125、CA199、AFP
   C. 抗生素治疗
   D. 盆腔MRI或CT
 ->E. 急诊剖腹探查或腹腔镜探查

43. 女性，30岁，G<sub>2</sub>P<sub>1</sub>，2年前顺产1胎。现停经39周，B超提示宫内单活胎，臀位。2 h前开始有阴道流液，湿透内裤，无伴腹痛。体温37 ℃。窥器检查：可见脐带脱出于阴道内，伴后穹隆积液。应考虑
   A. 产时感染
   B. 早产
 ->C. 脐带脱垂
   D. 宫缩乏力
   E. 尿失禁

44. 女，28岁，月经频发，经血量正常，婚后4年未孕，前来就诊。妇科检查，子宫正常大小，双附件无异常，基础体温呈双相型，最可能的诊断是
   A. 无排卵性功血
   B. 子宫内膜炎
   C. 子宫内膜脱落不全
 ->D. 黄体功能不全
   E. 子宫肌瘤

45. 患者孕7周，既往曾生育一进行性肌营养不良患儿，要求排除该胎儿是否患病，如果此时给患者进行绒毛活检，会导致以下什么风险
   A. 胎儿先天性心脏病
   B. 胎儿脊柱裂
 ->C. 胎儿肢体缺陷
   D. 胎儿染色体异常
   E. 胎儿智力异常

46. 孕妇，39岁，孕4产0，孕34周孕妇由救护车急诊送院，患者血压210/120 mmHg，体温39.3℃，心率150次/分，恶心，呕吐，烦躁不安。下列检查哪个结果是符合病情的
   A. TSH降低，T<sub>3</sub>升高，FT<sub>4</sub>降低
 ->B. TSH降低，FT<sub>3</sub>升高，FT<sub>4</sub>降低



   C. TSH升高，FT<sub>3</sub>升高，FT<sub>4</sub>降低
   D. TSH升高，FT<sub>3</sub>降低，FT<sub>4</sub>降低
   E. TSH升高，FT<sub>3</sub>降低，FT<sub>4</sub>升高

47. 患者血清甲胎蛋白升高的是
 ->A. 内胚窦瘤
   B. 绒毛膜癌
   C. 浆液性囊腺癌
   D. 黏液性囊腺癌
   E. 无性细胞瘤

48. 女性患者，闭经1年，溢乳3个月。影像学检查示：垂体大腺瘤。如果该垂体大腺瘤增大压迫周围组织后，最有可能导致的眼科问题是
   A. 青光眼
   B. 屈光异常
   C. 斜视
 ->D. 视野缺损
   E. 白内障

49. 患者，现孕37周，为乙肝携带者，3天前出现皮肤黏膜黄染，纳差，恶心呕吐，门诊考虑重症肝炎入院。下列说法正确的是
   A. 避免母婴传播不采用母乳喂养
   B. 新生儿应用乙肝疫苗可有效避免母婴传播
 ->C. 出生12月后查HBsAg阳性，提示新生儿感染
   D. 新生儿应用HBIG可有效避免母婴传播
   E. 剖宫产可以减少胎儿感染乙肝的几率

50. 女，27岁。结婚2年未孕（不分居，未避孕），作为了解卵巢功能的一个方法，决定做阴道组织学涂片检查，医师在考虑采样和分析结果时，下列何项考虑不对
   A. 阴道黏膜受雌孕激素的变化而改变
 ->B. 阴道年黏膜的变化在阴道中1/3处最明显
   C. 排卵前在雌激素作用下增生，角化
   D. 排卵前阴道细胞富含糖原，并被阴道杆菌分解而呈酸性
   E. 排卵后在孕激素作用下上皮细胞大量脱落

51. 56岁，绝经2年，阴道不规则出血15天，无腹痛，阴道脱落细胞学检查为ASC-US，妇科检查：宫颈糜烂样改变，宫体略大，双宫旁（-），进一步应
   A. 宫颈锥切术
   B. 宫颈LEEP切除术
   C. 子宫切除术
 ->D. 诊刮及宫颈活组织检查
   E. 宫腔镜
解析：CIN和宫颈癌的确诊最终都要依据宫颈的活体组织病理检查，同时诊刮可排除内膜癌。

52. 女，结婚4年未孕，既往体健，月经正常，无痛经，一年前开始月经量减少，近4月闭经，乏力、消瘦。查体见子宫稍小，双附件增厚，无明显压痛，盆腔X线平片有散在钙化点，其初步诊断是
   A. 慢性盆腔炎
   B. 子宫内膜异位症
   C. 慢性输卵管炎
 ->D. 生殖器结核
   E. 子宫发育不良

53. 女性，33岁，婚后5年不孕，痛经，进行性加重，妇科检查：宫骶韧带处可触及痛性结节2个，右侧附件区可触及8 cm×7 cm×6 cm大小肿块，活动差，最有效的确诊和治疗方法是
   A. B型超声+导引穿刺
   B. B超导引穿刺+助孕
   C. B超导引穿刺+囊内注入酒精
   D. 开腹手术切除右附件
 ->E. 诊断性腹腔镜+术中治疗或+术后药物治疗
解析：该病例的诊断是盆腔子宫内膜异位症，导致了不孕，应手术治疗。手术治疗目的是：①明确诊断及进行临床分期；②清除异位内膜病灶及囊肿；③分离粘连及恢复正常解剖结构；④治疗不孕；⑤缓解和治疗疼痛等症状。手术指征包括附件肿包块、盆腔疼痛及不孕。手术方式有开腹手术和经腹腔镜手术两种，目前认为以腹腔镜确诊、手术+药物为异位症治疗的金标准。

54. 患者，女，28岁，G<sub>1</sub>P<sub>0</sub>A1，停经38天，阴道出血8天，伴下腹隐痛，查：宫颈无举痛，宫体增大，质中，附件无明显压痛，HCG（+），要求做人工流产。人工流产吸出物见以下哪一项可排除宫外孕
   A. 蜕膜组织
 ->B. 绒毛
   C. A/S反应
   D. 增殖期子宫内膜
   E. 分泌期子宫内膜

55. 女性假两性畸形
   A. 染色体核型为46，XY
 ->B. 生殖腺为卵巢
   C. 生殖腺为睾丸
   D. 生殖腺为卵睾
   E. 无生育能力

56. 患者，现孕37周，为乙肝携带者，3天前出现皮肤黏膜黄染，纳差，恶心呕吐，门诊考虑重症肝炎入院。下列说法错误的是
   A. 妊娠患者重症肝炎死亡率高达60%
   B. 胆酶分离预示预后不良
 ->C. 剖宫产可以减少胎儿感染乙肝的概率
   D. 剖宫产采用纵切口
   E. 防治产后出血

57. 女性，76岁，子宫内膜癌术后、放疗后2年，阴道断端复发，有高血压病史10年，患2型糖尿病，查血BUN10.0mmol/L，肿瘤组织ER（+），PR（+）。下列何种治疗措施较恰当
 ->A. 内分泌治疗
   B. 全身化疗
   C. 随访
   D. 免疫治疗
   E. 再次手术

58. 女性，32岁，产后4个月，突然出现抽搐，CT检查证实为颅内占位，手术后病理为绒癌脑转移，为进一步治疗，鞘内注射化疗药应首选
   A. 5-FU
 ->B. MTX
   C. KSM
   D. CTX
   E. VCR
解析：甲氨蝶呤为作用于细胞周期（S期）的特异性药物，可用于鞘内注射治疗中枢神经系统转移癌。

59. 女性，28岁，已婚，孕前查体，巨细胞病毒IgG阳性，IgM阴性，关于此患者下列说法不恰当的是
   A. 早期感染过，体内有抗体
   B. 有一定免疫力
   C. 无近期感染，危险性低
 ->D. 需抗病毒治疗
   E. 无需进一步处理

60. 25岁女性，平素月经规律。现停经50天，有晨起呕吐症状。昨晚出现腹痛伴阴道少量出血，妇科检查：宫颈充血呈紫蓝色，子宫口未开，宫体前位增大，如50天妊娠子宫，质软，轻压痛，双附件（-），实验室检查：尿HCG阳性，B超：宫腔内可见1.8 cm×1.8 cm×2.5 cm大小胎囊，可见胎心搏动，最可能的诊断
   A. 宫外孕
   B. 不全流产
 ->C. 先兆流产
   D. 难免流产
   E. 习惯性流产

61. 患者经产妇，现孕36周，10天前出现纳差、乏力，3天前出现皮肤黏膜黄染，并逐渐加重，入院发现胎儿死亡，有不规则宫缩，下一步处理是
   A. 等待自然分娩
   B. 缩宫素加强宫缩
 ->C. 剖宫取胎
   D. 等待宫口开大后毁胎
   E. 缩宫素引产

62. 24岁，初孕30周，主诉同房后，出现阴道流血1小时，量如月经，伴下腹部轻坠胀痛。检查：BP105/68 mmHg，胎心率140次/分，胎位LOA，头浮，子宫有不规则收缩，无压痛；阴道窥诊：血液从子宫口内流出。最可能诊断是
   A. 先兆流产
   B. 胎盘早剥
   C. 胎盘边缘血窦破裂
 ->D. 前置胎盘
   E. 子宫颈息肉出血

63. 初产妇，28岁，妊娠40周，双胎妊娠。第一胎头位顺利娩出，第二胎肩右后位，胎心140次/分，未见病理性缩复环。应予以何种的处理
   A. 持续吸氧
   B. 静脉注射地西泮
   C. 静脉滴注缩宫素
 ->D. 乙醚深麻醉下行内转胎位术
   E. 行剖宫产术

64. 女性，18岁，既往超重，月经规律，读大学后节食，体重骤降25%，出现闭经属于哪种类型
 ->A. 下丘脑性闭经
   B. 垂体性闭经
   C. 子宫性闭经
   D. 卵巢性闭经
   E. 原发性闭经

65. 女性，32岁，孕18周，产前检查时，发现非梅毒螺旋体抗原试验USR阳性，为明确诊断，需进一步做下列哪项检查
   A. 宫颈涂片细胞学检查
   B. 白带常规检查
   C. 快速血浆反应素环状卡片试验
 ->D. 梅毒螺旋体血凝试验
   E. 病变组织的活检

66. 女性生殖器结核的病理变化，正确的是
   A. 输卵管结核多为双侧性，由子宫内膜结核蔓廷而来
   B. 卵巢结核通常是卵巢深部形成结节和干酪样坏死
 ->C. 子宫内膜结核可使子宫腔粘连、变形、缩小
   D. 宫颈结核在生殖道结核中最常见
   E. 盆腔腹膜结核分粘连型和渗出型，粘连型多见大量草绿色液体

67. 女，36岁，有盆腔炎性疾病病史，近4日高热伴下腹痛，妇科检查：子宫正常大小，左附件区触及7cm×6cm包块，压痛，静脉使用抗生素72小时无效，腹胀明显，该病合理处理是
   A. 物理治疗
   B. 中药或血化瘀治疗
   C. 继续抗生素治疗
   D. 阴道后穹隆切开引流
 ->E. 剖腹探查

68. 女性，28岁，G<sub>3</sub>P<sub>1</sub>，3年前顺产1胎，妊娠37周，3 h前开始有阴道流液，湿透内裤，无伴腹痛。窥器检查：宫颈光滑，清亮液体自宫口流出，混有胎脂，测液体pH试纸变蓝色。B超提示宫内单活胎，头位，羊水深度19 mm，胎儿估重2.6 kg。此时的处理
   A. 应用缩宫素抑制药
   B. 用地塞米松促胎肺成熟
 ->C. 催产素引产
   D. 等待自然临产
   E. 使用抗生素预防感染

69. 女性，30岁，月经规律3～5/26～28天。近10个月自月经前1周，出现易怒、抑郁、疲劳，乳房胀痛，腹部胀满，肢体浮肿，月经来潮后症状消失。最可能的诊断是
   A. 围绝经期综合征
 ->B. 经前期综合征
   C. 多囊卵巢综合征
   D. 抑郁症
   E. 痛经

70. 女性26岁，未婚，有性生活，脓性白带1周，检查外阴阴道未见异常，子宫颈充血、触血（+），宫颈口有脓性分泌物，子宫附件检查未发现明显异常，无压痛。最可能的诊断是
   A. 滴虫阴道炎
   B. 外阴阴道假丝酵母菌病
   C. 细菌性阴道病
 ->D. 黏液脓性宫颈炎
   E. 子宫内膜炎

71. 患者女，30岁。妊娠2个月，有怕热、心悸、多食等，诊断为妊娠合并甲亢，该患者宜首选
   A. 手术
   B. <sup>131</sup>Ⅰ治疗
   C. 普萘洛尔
 ->D. 丙硫氧嘧啶
   E. 终止妊娠

72. 患者，现孕35周，既往无心脏病史，现不明原因出现轻微活动后心悸气促明显，有夜间阵发性呼吸困难，心脏彩超提示全心增大。初步诊断是什么
 ->A. 围产期心脏病
   B. 肥厚性心肌病
   C. 风湿性心脏病
   D. 高血压性心脏病
   E. 甲亢心

73. 女性，28岁。婚后2年性生活正常未孕，无月经来潮，第二性征女性，应用人工周期治疗有少量月经。最可能的诊断是
   A. 先天性无子宫
   B. 始基子宫
 ->C. 幼稚子宫
   D. 女性假两性畸形
   E. 男性假两性畸形

74. 患者女性25岁，未婚有性生活，孕2产0。近半年有不洁性生活史，阴道脓性分泌物10天就诊，查体发现宫颈口有黏液脓性分泌物流出，子宫体轻度压痛，左附件轻压痛。宫颈沙眼衣原体核酸检测（+）。女性生殖道衣原体的主要蔓延途径是
   A. 直接蔓延
   B. 间接接触传播
   C. 经淋巴传播
   D. 经血循环传播
 ->E. 沿生殖道黏膜上行蔓延

75. 女性，18岁，高中生，体育课后逐渐感右下腹部绞痛，伴恶心、呕吐，2小时。B超检查提示右卵巢肿瘤扭转，行剖腹探查术，术式的选择，应根据
   A. 肿瘤的大小
   B. 肿瘤是否破裂
   C. 附件扭转是否变色
   D. 快速病理报告
 ->E. 卵巢血供及快速病理

76. 女性，65岁。主诉血性白带。妇科检查：子宫颈无糜烂，宫体稍大，后穹隆分泌物涂片检查找到癌细胞。进一步处理最佳方案是
   A. B超检查
   B. 碘试验
   C. 阴道镜检查
 ->D. 分段诊断性刮宫
   E. 宫颈荧光检查

77. 26岁女性，1年前查体发现左卵巢囊肿。今晨起突发左下腹痛，伴恶心、呕吐。妇科检查：扪及左下腹肿物，有压痛，蒂部明显，首选处理
   A. 密切观察
   B. 查CA125、CA199、AFP
   C. 抗生素治疗
   D. 盆腔MRI或CT
 ->E. 急诊剖腹探查或腹腔镜探查

78. 患者，30岁，孕30周因上腹绞痛、恶心、呕吐伴下腹阵痛入院。化验检查：白细胞及胆红素上升；血钾3.1 mmol/L；胰淀粉酶4 854 U/L。B超示多发胆囊结石，胆囊炎。胎儿超声提示双顶径：7.8 cm，股骨长5.2 cm，发育正常。该患者的治疗中不正确的是
   A. 一旦确诊，尽快手术治疗
   B. 多数经非手术治疗有效
 ->C. 以保守治疗为主
   D. 终止妊娠后行保守治疗
   E. 终止妊娠后行手术治疗

79. 女性，30岁。孕34周首次产前检查，下列哪项不属于妊娠生理性变化
   A. 心尖区及肺动脉瓣区柔和的收缩期杂音
   B. 心率加速而有心悸感
   C. 妊娠晚期轻度气短、气喘
 ->D. 心脏听诊有舒张期杂音
   E. 心浊音界轻微扩大

80. 女性，38岁。主诉月经过多且经期延长。贫血，血红蛋白仅56g/L，决定行子宫切除术。术前主刀医师在考虑手术各步注意事项时，下列哪项可不必考虑
